sample_idx,phase,wall_ms
93,_build_continuous_sequence,14.585
94,_build_continuous_sequence,14.299
95,_build_continuous_sequence,15.408
96,_build_continuous_sequence,14.626
97,_build_continuous_sequence,14.345
98,_build_continuous_sequence,14.148
99,_build_continuous_sequence,15.110
0,_extract_kg_sequence,0.092
1,_extract_kg_sequence,0.080
2,_extract_kg_sequence,0.082
3,_extract_kg_sequence,0.082
4,_extract_kg_sequence,0.080
5,_extract_kg_sequence,0.092
6,_extract_kg_sequence,0.074
7,_extract_kg_sequence,0.073
8,_extract_kg_sequence,0.079
9,_extract_kg_sequence,0.080
10,_extract_kg_sequence,0.076
11,_extract_kg_sequence,0.072
12,_extract_kg_sequence,0.071
13,_extract_kg_sequence,0.079
14,_extract_kg_sequence,0.081
15,_extract_kg_sequence,0.079
16,_extract_kg_sequence,0.070
17,_extract_kg_sequence,0.082
18,_extract_kg_sequence,0.078
19,_extract_kg_sequence,0.079
20,_extract_kg_sequence,0.079
21,_extract_kg_sequence,0.079
22,_extract_kg_sequence,0.072
23,_extract_kg_sequence,0.073
24,_extract_kg_sequence,0.081
25,_extract_kg_sequence,0.070
26,_extract_kg_sequence,0.079
27,_extract_kg_sequence,0.071
28,_extract_kg_sequence,0.083
29,_extract_kg_sequence,0.094
30,_extract_kg_sequence,0.075
31,_extract_kg_sequence,0.079
32,_extract_kg_sequence,0.075
33,_extract_kg_sequence,0.070
34,_extract_kg_sequence,0.077
35,_extract_kg_sequence,0.078
36,_extract_kg_sequence,0.076
37,_extract_kg_sequence,0.077
38,_extract_kg_sequence,0.076
39,_extract_kg_sequence,0.077
40,_extract_kg_sequence,0.077
41,_extract_kg_sequence,0.076
42,_extract_kg_sequence,0.077
43,_extract_kg_sequence,0.081
44,_extract_kg_sequence,0.070
45,_extract_kg_sequence,0.081
46,_extract_kg_sequence,0.080
47,_extract_kg_sequence,0.081
48,_extract_kg_sequence,0.079
49,_extract_kg_sequence,0.079
50,_extract_kg_sequence,0.079
51,_extract_kg_sequence,0.081
52,_extract_kg_sequence,0.079
53,_extract_kg_sequence,0.080
54,_extract_kg_sequence,0.080
55,_extract_kg_sequence,0.077
56,_extract_kg_sequence,0.072
57,_extract_kg_sequence,0.083
58,_extract_kg_sequence,0.075
59,_extract_kg_sequence,0.081
60,_extract_kg_sequence,0.079
61,_extract_kg_sequence,0.072
62,_extract_kg_sequence,0.074
63,_extract_kg_sequence,0.088
64,_extract_kg_sequence,0.073
65,_extract_kg_sequence,0.074
66,_extract_kg_sequence,0.086
67,_extract_kg_sequence,0.081
68,_extract_kg_sequence,0.085
69,_extract_kg_sequence,0.087
70,_extract_kg_sequence,0.075
71,_extract_kg_sequence,0.083
72,_extract_kg_sequence,0.088
73,_extract_kg_sequence,0.077
74,_extract_kg_sequence,0.077
75,_extract_kg_sequence,0.078
76,_extract_kg_sequence,0.079
77,_extract_kg_sequence,0.073
78,_extract_kg_sequence,0.070
79,_extract_kg_sequence,0.077
80,_extract_kg_sequence,0.074
81,_extract_kg_sequence,0.082
82,_extract_kg_sequence,0.072
83,_extract_kg_sequence,0.076
84,_extract_kg_sequence,0.076
85,_extract_kg_sequence,0.079
86,_extract_kg_sequence,0.074
87,_extract_kg_sequence,0.073
88,_extract_kg_sequence,0.073
89,_extract_kg_sequence,0.078
90,_extract_kg_sequence,0.082
91,_extract_kg_sequence,0.081
92,_extract_kg_sequence,0.072
93,_extract_kg_sequence,0.078
94,_extract_kg_sequence,0.086
95,_extract_kg_sequence,0.075
96,_extract_kg_sequence,0.082
97,_extract_kg_sequence,0.073
98,_extract_kg_sequence,0.074
99,_extract_kg_sequence,0.072
0,_process_static,93.179
1,_process_static,113.060
2,_process_static,101.993
3,_process_static,72.227
4,_process_static,165.836
5,_process_static,41.844
6,_process_static,42.016
7,_process_static,32.267
8,_process_static,62.508
9,_process_static,64.432
10,_process_static,84.105
11,_process_static,34.813
12,_process_static,40.777
13,_process_static,11.474
14,_process_static,76.183
15,_process_static,133.586
16,_process_static,57.447
17,_process_static,80.514
18,_process_static,36.657
19,_process_static,124.207
20,_process_static,60.894
21,_process_static,92.314
22,_process_static,32.453
23,_process_static,35.108
24,_process_static,73.246
25,_process_static,78.974
26,_process_static,94.137
27,_process_static,25.121
28,_process_static,109.788
29,_process_static,34.196
30,_process_static,92.292
31,_process_static,70.779
32,_process_static,104.540
33,_process_static,71.496
34,_process_static,36.509
35,_process_static,12.212
36,_process_static,122.668
37,_process_static,60.179
38,_process_static,37.049
39,_process_static,92.898
40,_process_static,73.977
41,_process_static,42.975
42,_process_static,105.314
43,_process_static,112.815
44,_process_static,38.649
45,_process_static,78.174
46,_process_static,10.521
47,_process_static,122.696
48,_process_static,94.680
49,_process_static,126.318
50,_process_static,31.663
51,_process_static,61.070
52,_process_static,36.463
53,_process_static,83.802
54,_process_static,58.251
55,_process_static,113.044
56,_process_static,36.203
57,_process_static,95.370
58,_process_static,28.261
59,_process_static,54.741
60,_process_static,96.033
61,_process_static,32.468
62,_process_static,31.078
63,_process_static,68.313
64,_process_static,40.132
65,_process_static,79.499
66,_process_static,10.917
67,_process_static,10.124
68,_process_static,9.927
69,_process_static,131.216
70,_process_static,10.981
71,_process_static,11.352
72,_process_static,48.653
73,_process_static,123.815
74,_process_static,32.203
75,_process_static,56.044
76,_process_static,109.567
77,_process_static,38.395
78,_process_static,39.047
79,_process_static,110.095
80,_process_static,27.987
81,_process_static,110.418
82,_process_static,12.216
83,_process_static,13.047
84,_process_static,47.989
85,_process_static,12.770
