[2026-06-17 04:15:19,126][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-17 04:15:19,128][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-17 04:15:24,825][root][INFO] - Train: 4480000 samples, Val: 640000 samples
[2026-06-17 04:15:25,851][root][INFO] - Starting training from epoch 1
[2026-06-17 04:15:41,881][root][INFO] - Epoch [1/5], Batch [1/300], Loss: 2.0358 (Overall: 2.0762, Change: 1.9953), TF Ratio: 1.000
[2026-06-17 04:15:42,037][root][INFO] - Epoch [1/5], Batch [2/300], Loss: 2.1654 (Overall: 2.2358, Change: 2.3543), TF Ratio: 1.000
[2026-06-17 04:15:42,190][root][INFO] - Epoch [1/5], Batch [3/300], Loss: 2.1912 (Overall: 2.0691, Change: 2.4163), TF Ratio: 0.999
[2026-06-17 04:15:47,672][root][INFO] - Epoch [1/5], Batch [4/300], Loss: 2.1756 (Overall: 2.0609, Change: 2.1970), TF Ratio: 0.999
[2026-06-17 04:15:47,835][root][INFO] - Epoch [1/5], Batch [5/300], Loss: 2.1186 (Overall: 1.7945, Change: 1.9862), TF Ratio: 0.999
[2026-06-17 04:15:47,988][root][INFO] - Epoch [1/5], Batch [6/300], Loss: 2.0828 (Overall: 1.6667, Change: 2.1413), TF Ratio: 0.999
[2026-06-17 04:15:48,141][root][INFO] - Epoch [1/5], Batch [7/300], Loss: 2.0589 (Overall: 1.7125, Change: 2.1187), TF Ratio: 0.999
[2026-06-17 04:15:48,313][root][INFO] - Epoch [1/5], Batch [8/300], Loss: 2.0525 (Overall: 1.7006, Change: 2.3141), TF Ratio: 0.998
[2026-06-17 04:15:48,467][root][INFO] - Epoch [1/5], Batch [9/300], Loss: 2.0223 (Overall: 1.5312, Change: 2.0300), TF Ratio: 0.998
[2026-06-17 04:15:48,619][root][INFO] - Epoch [1/5], Batch [10/300], Loss: 2.0011 (Overall: 1.5052, Change: 2.1160), TF Ratio: 0.998
[2026-06-17 04:15:48,772][root][INFO] - Epoch [1/5], Batch [11/300], Loss: 1.9562 (Overall: 1.5449, Change: 1.4694), TF Ratio: 0.998
[2026-06-17 04:15:58,106][root][INFO] - Epoch [1/5], Batch [12/300], Loss: 1.9582 (Overall: 1.9633, Change: 1.9970), TF Ratio: 0.998
[2026-06-17 04:15:58,263][root][INFO] - Epoch [1/5], Batch [13/300], Loss: 1.9356 (Overall: 1.4579, Change: 1.8714), TF Ratio: 0.997
[2026-06-17 04:15:58,416][root][INFO] - Epoch [1/5], Batch [14/300], Loss: 1.9106 (Overall: 1.3848, Change: 1.7851), TF Ratio: 0.997
[2026-06-17 04:15:58,570][root][INFO] - Epoch [1/5], Batch [15/300], Loss: 1.8886 (Overall: 1.6526, Change: 1.5092), TF Ratio: 0.997
[2026-06-17 04:16:00,264][root][INFO] - Epoch [1/5], Batch [16/300], Loss: 1.8822 (Overall: 1.4463, Change: 2.1280), TF Ratio: 0.997
[2026-06-17 04:16:00,419][root][INFO] - Epoch [1/5], Batch [17/300], Loss: 1.8636 (Overall: 1.2823, Change: 1.8495), TF Ratio: 0.997
[2026-06-17 04:16:00,571][root][INFO] - Epoch [1/5], Batch [18/300], Loss: 1.8505 (Overall: 1.5262, Change: 1.7285), TF Ratio: 0.996
[2026-06-17 04:16:00,724][root][INFO] - Epoch [1/5], Batch [19/300], Loss: 1.8344 (Overall: 1.3634, Change: 1.7249), TF Ratio: 0.996
[2026-06-17 04:16:01,109][root][INFO] - Epoch [1/5], Batch [20/300], Loss: 1.8231 (Overall: 1.4314, Change: 1.7845), TF Ratio: 0.996
[2026-06-17 04:16:01,263][root][INFO] - Epoch [1/5], Batch [21/300], Loss: 1.8149 (Overall: 1.5187, Change: 1.7832), TF Ratio: 0.996
[2026-06-17 04:16:01,415][root][INFO] - Epoch [1/5], Batch [22/300], Loss: 1.8043 (Overall: 1.2549, Change: 1.9092), TF Ratio: 0.996
[2026-06-17 04:16:01,568][root][INFO] - Epoch [1/5], Batch [23/300], Loss: 1.8023 (Overall: 1.6461, Change: 1.8722), TF Ratio: 0.995
[2026-06-17 04:16:11,500][root][INFO] - Epoch [1/5], Batch [24/300], Loss: 1.7856 (Overall: 1.2825, Change: 1.5206), TF Ratio: 0.995
[2026-06-17 04:16:11,656][root][INFO] - Epoch [1/5], Batch [25/300], Loss: 1.7711 (Overall: 1.2621, Change: 1.5846), TF Ratio: 0.995
[2026-06-17 04:16:11,809][root][INFO] - Epoch [1/5], Batch [26/300], Loss: 1.7646 (Overall: 1.3500, Change: 1.8524), TF Ratio: 0.995
[2026-06-17 04:16:11,962][root][INFO] - Epoch [1/5], Batch [27/300], Loss: 1.7602 (Overall: 1.5818, Change: 1.7100), TF Ratio: 0.995
[2026-06-17 04:16:14,626][root][INFO] - Epoch [1/5], Batch [28/300], Loss: 1.7501 (Overall: 1.2176, Change: 1.7378), TF Ratio: 0.994
[2026-06-17 04:16:14,781][root][INFO] - Epoch [1/5], Batch [29/300], Loss: 1.7443 (Overall: 1.2858, Change: 1.8747), TF Ratio: 0.994
[2026-06-17 04:16:14,933][root][INFO] - Epoch [1/5], Batch [30/300], Loss: 1.7412 (Overall: 1.5745, Change: 1.7309), TF Ratio: 0.994
