phase,dataset,num_workers,idx,wall_ms
phase2,merged,0,47,1102.31
phase2,merged,0,48,2841.71
phase2,merged,0,49,5021.83
phase2,merged,0,50,5270.75
phase2,merged,0,51,3470.38
phase2,merged,0,52,993.60
phase2,merged,0,53,2916.07
phase2,merged,0,54,1084.92
phase2,merged,0,55,1047.53
phase2,merged,0,56,1061.24
phase2,merged,0,57,953.72
phase2,merged,0,58,1290.63
phase2,merged,0,59,997.60
phase2,merged,0,60,5270.98
phase2,merged,0,61,886.94
phase2,merged,0,62,1361.95
phase2,merged,0,63,1243.89
phase2,merged,0,64,1057.22
phase2,merged,0,65,2760.06
phase2,merged,0,66,1171.99
phase2,merged,0,67,1116.93
phase2,merged,0,68,866.38
phase2,merged,0,69,752.81
phase2,merged,0,70,2988.52
phase2,merged,0,71,1140.80
phase2,merged,0,72,1221.46
phase2,merged,0,73,1053.58
phase2,merged,0,74,1236.38
phase2,merged,0,75,2982.10
phase2,merged,0,76,1039.60
phase2,merged,0,77,1249.32
phase2,merged,0,78,2899.48
phase2,merged,0,79,964.76
phase2,single,1,0,9877.80
phase2,single,1,1,10391.51
phase2,single,1,2,9302.20
phase2,single,1,3,11989.93
phase2,single,1,4,11758.92
phase2,single,1,5,10150.74
phase2,single,1,6,9459.69
phase2,single,1,7,13392.03
phase2,single,1,8,9585.99
phase2,single,1,9,10439.74
phase2,single,1,10,9773.44
phase2,single,1,11,9648.84
phase2,single,1,12,11892.07
phase2,single,1,13,11541.97
phase2,single,1,14,10250.23
phase2,single,1,15,9409.44
phase2,single,1,16,9913.59
phase2,single,1,17,9736.66
phase2,single,1,18,9328.32
phase2,single,1,19,11657.42
phase2,single,1,20,9704.22
phase2,single,1,21,9798.21
phase2,single,1,22,11629.85
phase2,single,1,23,10949.96
phase2,single,1,24,12058.97
phase2,single,1,25,9529.04
phase2,single,1,26,12442.78
phase2,single,1,27,9430.88
phase2,single,1,28,10681.52
phase2,single,1,29,10735.73
phase2,single,1,30,11058.47
phase2,single,1,31,13415.75
phase2,single,1,32,11697.25
phase2,single,1,33,10110.43
phase2,single,1,34,13317.15
phase2,single,1,35,10317.86
phase2,single,1,36,11102.42
phase2,single,1,37,11173.20
phase2,single,1,38,10145.11
phase2,single,1,39,11034.78
phase2,single,1,40,10731.35
phase2,single,1,41,10451.20
phase2,single,1,42,10457.74
phase2,single,1,43,10793.81
phase2,single,1,44,10384.61
phase2,single,1,45,11370.49
phase2,single,1,46,11809.12
phase2,single,1,47,12882.04
phase2,single,1,48,10991.15
phase2,single,1,49,10594.19
phase2,single,1,50,12550.80
phase2,single,1,51,13167.72
phase2,single,1,52,10481.85
phase2,single,1,53,11031.79
phase2,single,1,54,13548.53
phase2,single,1,55,10326.88
phase2,single,1,56,22584.31
phase2,single,1,57,12177.56
phase2,single,1,58,13039.90
phase2,single,1,59,10357.47
phase2,single,1,60,13448.26
phase2,single,1,61,9700.55
phase2,single,1,62,18108.75
phase2,single,1,63,12281.41
phase2,single,1,64,19855.36
phase2,merged,1,0,3718.01
phase2,merged,1,1,5818.90
phase2,merged,1,2,996.28
phase2,merged,1,3,1040.08
phase2,merged,1,4,7232.94
phase2,merged,1,5,3254.44
phase2,merged,1,6,1057.03
phase2,merged,1,7,1426.61
phase2,merged,1,8,1264.51
phase2,merged,1,9,5234.60
phase2,merged,1,10,999.95
phase2,merged,1,11,1035.04
phase2,merged,1,12,1155.54
phase2,merged,1,13,1066.09
phase2,merged,1,14,1116.62
phase2,merged,1,15,988.36
phase2,merged,1,16,1041.94
phase2,merged,1,17,1084.10
phase2,merged,1,18,799.21
phase2,merged,1,19,1063.72
phase2,merged,1,20,3083.53
phase2,merged,1,21,971.15
phase2,merged,1,22,1289.94
phase2,merged,1,23,1022.81
phase2,merged,1,24,4361.83
phase2,merged,1,25,909.88
phase2,merged,1,26,1495.63
phase2,merged,1,27,909.14
phase2,merged,1,28,3830.36
phase2,merged,1,29,916.93
phase2,merged,1,30,897.55
phase2,merged,1,31,1120.14
phase2,merged,1,32,1001.60
phase2,merged,1,33,834.51
phase2,merged,1,34,880.22
phase2,merged,1,35,859.37
phase2,merged,1,36,1145.53
phase2,merged,1,37,1365.05
phase2,merged,1,38,2106.29
phase2,merged,1,39,1137.71
phase2,merged,1,40,1347.63
phase2,merged,1,41,1051.51
phase2,merged,1,42,4037.24
phase2,merged,1,43,986.43
phase2,merged,1,44,2007.31
phase2,merged,1,45,1379.43
phase2,merged,1,46,983.72
phase2,merged,1,47,881.02
phase2,merged,1,48,1155.25
phase2,merged,1,49,3394.46
phase2,merged,1,50,2271.11
phase2,merged,1,51,2060.85
phase2,merged,1,52,934.02
phase2,merged,1,53,795.31
phase2,merged,1,54,939.01
phase2,merged,1,55,818.04
phase2,merged,1,56,919.70
phase2,merged,1,57,780.21
phase2,merged,1,58,867.00
phase2,merged,1,59,1048.03
phase2,merged,1,60,811.84
phase2,merged,1,61,717.86
phase2,merged,1,62,950.23
phase2,merged,1,63,731.77
phase2,merged,1,64,852.72
phase2,merged,1,65,936.44
phase2,merged,1,66,928.31
phase2,merged,1,67,1100.28
phase2,merged,1,68,987.99
phase2,merged,1,69,968.53
phase2,merged,1,70,898.27
phase2,merged,1,71,1091.28
phase2,merged,1,72,18583.51
phase2,merged,1,73,2065.07
phase2,merged,1,74,844.81
phase2,merged,1,75,1032.82
phase2,merged,1,76,9191.76
phase2,merged,1,77,18840.91
phase2,merged,1,78,1151.04
phase2,merged,1,79,970.35
phase2,single,4,0,10366.79
phase2,single,4,1,773.70
phase2,single,4,2,0.08
phase2,single,4,3,0.15
phase2,single,4,4,9618.06
phase2,single,4,5,906.55
phase2,single,4,6,0.17
phase2,single,4,7,0.11
phase2,single,4,8,8922.94
phase2,single,4,9,1754.45
phase2,single,4,10,0.14
phase2,single,4,11,0.10
phase2,single,4,12,10856.72
phase2,single,4,13,993.73
phase2,single,4,14,0.17
phase2,single,4,15,0.10
phase2,single,4,16,27209.78
phase2,single,4,17,0.17
phase2,single,4,18,0.03
phase2,single,4,19,0.02
phase2,single,4,20,10095.39
phase2,single,4,21,0.23
phase2,single,4,22,0.03
phase2,single,4,23,0.14
phase2,single,4,24,17135.55
phase2,single,4,25,0.14
phase2,single,4,26,0.10
phase2,single,4,27,0.10
phase2,single,4,28,23628.15
phase2,single,4,29,0.24
phase2,single,4,30,0.03
phase2,single,4,31,0.03
