arm,store,sample_idx,chunk_key,wall_us
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,secmb/10.5.37,37246.81
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,secdn/10.5.37,37383.83
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,pastr/10.5.37,41167.15
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,c3ann/10.5.37,45968.22
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,number_of_people/10.5.38,31320.26
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,number_of_people/10.5.37,30019.29
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,kg_class/10.5.37,11330.56
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,kg_class/10.5.38,26926.70
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,elevation/5.37,21132.30
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,elevation/5.38,24139.56
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,ASPECT/5.37,30231.00
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,weighted_ORGANIC/5.37,32949.36
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,SLOPE/5.38,34919.63
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,SLOPE/5.37,34756.55
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,weighted_ORGANIC/5.38,35497.38
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,ASPECT/5.38,35825.67
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,weighted_PCT_SAND/5.38,34797.88
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,weighted_PCT_SAND/5.37,35054.13
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,weighted_PCT_CLAY/5.37,45007.70
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,weighted_PCT_CLAY/5.38,50661.39
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,LULC_states/8.5.38,38516.02
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,LULC_states/8.5.37,57995.48
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,LULC_states/9.5.37,17294.73
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,LULC_states/10.5.37,17143.54
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,LULC_states/10.5.38,17328.39
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,0,LULC_states/9.5.38,24239.82
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c4per/10.7.53,15412.19
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,primn/10.7.53,24694.79
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,primf/10.7.53,25360.07
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,urban/10.7.53,24414.87
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,pastr/10.7.53,27619.46
single_14,AI4LAND_NON_preprocessed-data-2000-2015.zarr,1,c4ann/10.7.53,26858.50
