2026-05-29 11:05:34,477 - INFO - Recurrent UNet Model Successfully Configured and Initialized.
2026-05-29 11:05:34,495 - INFO - Starting from scratch (no valid checkpoint provided).
2026-05-29 11:05:34,550 - INFO - Train: 6272000 samples, Val: 896000 samples
2026-05-29 11:05:36,041 - INFO - Starting training from epoch 1
2026-05-29 11:05:53,621 - INFO - Epoch [1/1], Batch [1/50], Loss: 1.1237 (Overall: 2.2474, Change: 0.0000), TF Ratio: 1.000
2026-05-29 11:05:53,777 - INFO - Epoch [1/1], Batch [2/50], Loss: 1.1232 (Overall: 2.2455, Change: 0.0000), TF Ratio: 1.000
2026-05-29 11:05:53,930 - INFO - Epoch [1/1], Batch [3/50], Loss: 1.1224 (Overall: 2.2415, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:05:54,287 - INFO - Epoch [1/1], Batch [4/50], Loss: 1.1229 (Overall: 2.2486, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:05:54,440 - INFO - Epoch [1/1], Batch [5/50], Loss: 1.1150 (Overall: 2.1669, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:05:54,591 - INFO - Epoch [1/1], Batch [6/50], Loss: 1.1071 (Overall: 2.1351, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:05:54,743 - INFO - Epoch [1/1], Batch [7/50], Loss: 1.1022 (Overall: 2.1456, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:05:54,914 - INFO - Epoch [1/1], Batch [8/50], Loss: 1.0969 (Overall: 2.1195, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:05:55,066 - INFO - Epoch [1/1], Batch [9/50], Loss: 1.0866 (Overall: 2.0094, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:05:55,218 - INFO - Epoch [1/1], Batch [10/50], Loss: 1.0764 (Overall: 1.9685, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:05:55,370 - INFO - Epoch [1/1], Batch [11/50], Loss: 1.0700 (Overall: 2.0127, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:06:03,445 - INFO - Epoch [1/1], Batch [12/50], Loss: 1.0637 (Overall: 1.9890, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:06:03,601 - INFO - Epoch [1/1], Batch [13/50], Loss: 1.0528 (Overall: 1.8421, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:06:03,753 - INFO - Epoch [1/1], Batch [14/50], Loss: 1.0455 (Overall: 1.9021, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:06:04,350 - INFO - Epoch [1/1], Batch [15/50], Loss: 1.0395 (Overall: 1.9100, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:06:05,612 - INFO - Epoch [1/1], Batch [16/50], Loss: 1.0325 (Overall: 1.8571, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:06:05,764 - INFO - Epoch [1/1], Batch [17/50], Loss: 1.0245 (Overall: 1.7925, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:06:05,916 - INFO - Epoch [1/1], Batch [18/50], Loss: 1.0202 (Overall: 1.8921, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:06:06,068 - INFO - Epoch [1/1], Batch [19/50], Loss: 1.0162 (Overall: 1.8896, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:06:06,245 - INFO - Epoch [1/1], Batch [20/50], Loss: 1.0124 (Overall: 1.8818, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:06:06,398 - INFO - Epoch [1/1], Batch [21/50], Loss: 1.0057 (Overall: 1.7408, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:06:06,550 - INFO - Epoch [1/1], Batch [22/50], Loss: 1.0003 (Overall: 1.7774, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:06:06,702 - INFO - Epoch [1/1], Batch [23/50], Loss: 0.9943 (Overall: 1.7226, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:06:15,602 - INFO - Epoch [1/1], Batch [24/50], Loss: 0.9891 (Overall: 1.7387, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:06:15,755 - INFO - Epoch [1/1], Batch [25/50], Loss: 0.9825 (Overall: 1.6487, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:06:16,006 - INFO - Epoch [1/1], Batch [26/50], Loss: 0.9776 (Overall: 1.7087, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:06:16,514 - INFO - Epoch [1/1], Batch [27/50], Loss: 0.9734 (Overall: 1.7304, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:06:18,629 - INFO - Epoch [1/1], Batch [28/50], Loss: 0.9697 (Overall: 1.7376, Change: 0.0000), TF Ratio: 0.994
