START TIME: Wed Jun 24 20:25:19 CEST 2026
idx,tensor,max_abs_diff,equal
4109564,x_hilda,0.000e+00,True
4109564,targets,0.000e+00,True
5269739,x_continuous,0.000e+00,True
5269739,x_kg,0.000e+00,True
5269739,x_static,0.000e+00,True
5269739,x_hilda,0.000e+00,True
5269739,targets,0.000e+00,True
7212376,x_continuous,0.000e+00,True
7212376,x_kg,0.000e+00,True
7212376,x_static,0.000e+00,True
7212376,x_hilda,0.000e+00,True
7212376,targets,0.000e+00,True
4419632,x_continuous,0.000e+00,True
4419632,x_kg,0.000e+00,True
4419632,x_static,0.000e+00,True
4419632,x_hilda,0.000e+00,True
4419632,targets,0.000e+00,True
10370010,x_continuous,0.000e+00,True
10370010,x_kg,0.000e+00,True
10370010,x_static,0.000e+00,True
10370010,x_hilda,0.000e+00,True
10370010,targets,0.000e+00,True
3888186,x_continuous,0.000e+00,True
3888186,x_kg,0.000e+00,True
3888186,x_static,0.000e+00,True
3888186,x_hilda,0.000e+00,True
3888186,targets,0.000e+00,True
11789822,x_continuous,0.000e+00,True
11789822,x_kg,0.000e+00,True
11789822,x_static,0.000e+00,True
11789822,x_hilda,0.000e+00,True
11789822,targets,0.000e+00,True
8721577,x_continuous,0.000e+00,True
8721577,x_kg,0.000e+00,True
8721577,x_static,0.000e+00,True
8721577,x_hilda,0.000e+00,True
8721577,targets,0.000e+00,True
3627519,x_continuous,0.000e+00,True
3627519,x_kg,0.000e+00,True
3627519,x_static,0.000e+00,True
3627519,x_hilda,0.000e+00,True
3627519,targets,0.000e+00,True
8351707,x_continuous,0.000e+00,True
8351707,x_kg,0.000e+00,True
8351707,x_static,0.000e+00,True
8351707,x_hilda,0.000e+00,True
8351707,targets,0.000e+00,True
10088123,x_continuous,0.000e+00,True
10088123,x_kg,0.000e+00,True
10088123,x_static,0.000e+00,True
10088123,x_hilda,0.000e+00,True
10088123,targets,0.000e+00,True
12232143,x_continuous,0.000e+00,True
12232143,x_kg,0.000e+00,True
12232143,x_static,0.000e+00,True
12232143,x_hilda,0.000e+00,True
12232143,targets,0.000e+00,True
2625294,x_continuous,0.000e+00,True
2625294,x_kg,0.000e+00,True
2625294,x_static,0.000e+00,True
2625294,x_hilda,0.000e+00,True
2625294,targets,0.000e+00,True
3925693,x_continuous,0.000e+00,True
3925693,x_kg,0.000e+00,True
3925693,x_static,0.000e+00,True
3925693,x_hilda,0.000e+00,True
3925693,targets,0.000e+00,True
8671677,x_continuous,0.000e+00,True
8671677,x_kg,0.000e+00,True
8671677,x_static,0.000e+00,True
8671677,x_hilda,0.000e+00,True
8671677,targets,0.000e+00,True
465070,x_continuous,0.000e+00,True
465070,x_kg,0.000e+00,True
465070,x_static,0.000e+00,True
465070,x_hilda,0.000e+00,True
465070,targets,0.000e+00,True
5707709,x_continuous,0.000e+00,True
5707709,x_kg,0.000e+00,True
5707709,x_static,0.000e+00,True
5707709,x_hilda,0.000e+00,True
5707709,targets,0.000e+00,True
4792370,x_continuous,0.000e+00,True
4792370,x_kg,0.000e+00,True
4792370,x_static,0.000e+00,True
4792370,x_hilda,0.000e+00,True
4792370,targets,0.000e+00,True
2661739,x_continuous,0.000e+00,True
2661739,x_kg,0.000e+00,True
2661739,x_static,0.000e+00,True
2661739,x_hilda,0.000e+00,True
2661739,targets,0.000e+00,True
4460086,x_continuous,0.000e+00,True
4460086,x_kg,0.000e+00,True
4460086,x_static,0.000e+00,True
4460086,x_hilda,0.000e+00,True
4460086,targets,0.000e+00,True
11424499,x_continuous,0.000e+00,True
11424499,x_kg,0.000e+00,True
11424499,x_static,0.000e+00,True
11424499,x_hilda,0.000e+00,True
11424499,targets,0.000e+00,True
12241215,x_continuous,0.000e+00,True
12241215,x_kg,0.000e+00,True
12241215,x_static,0.000e+00,True
12241215,x_hilda,0.000e+00,True
12241215,targets,0.000e+00,True
10491384,x_continuous,0.000e+00,True
10491384,x_kg,0.000e+00,True
10491384,x_static,0.000e+00,True
10491384,x_hilda,0.000e+00,True
10491384,targets,0.000e+00,True
2702978,x_continuous,0.000e+00,True
2702978,x_kg,0.000e+00,True
2702978,x_static,0.000e+00,True
2702978,x_hilda,0.000e+00,True
2702978,targets,0.000e+00,True
6695908,x_continuous,0.000e+00,True
6695908,x_kg,0.000e+00,True
6695908,x_static,0.000e+00,True
6695908,x_hilda,0.000e+00,True
6695908,targets,0.000e+00,True
11625266,x_continuous,0.000e+00,True
11625266,x_kg,0.000e+00,True
11625266,x_static,0.000e+00,True
11625266,x_hilda,0.000e+00,True
11625266,targets,0.000e+00,True
9258630,x_continuous,0.000e+00,True
9258630,x_kg,0.000e+00,True
9258630,x_static,0.000e+00,True
9258630,x_hilda,0.000e+00,True
9258630,targets,0.000e+00,True
10795540,x_continuous,0.000e+00,True
10795540,x_kg,0.000e+00,True
10795540,x_static,0.000e+00,True
10795540,x_hilda,0.000e+00,True
10795540,targets,0.000e+00,True
6239560,x_continuous,0.000e+00,True
6239560,x_kg,0.000e+00,True
6239560,x_static,0.000e+00,True
6239560,x_hilda,0.000e+00,True
6239560,targets,0.000e+00,True
3874470,x_continuous,0.000e+00,True
3874470,x_kg,0.000e+00,True
3874470,x_static,0.000e+00,True
3874470,x_hilda,0.000e+00,True
3874470,targets,0.000e+00,True
4492561,x_continuous,0.000e+00,True
4492561,x_kg,0.000e+00,True
4492561,x_static,0.000e+00,True
4492561,x_hilda,0.000e+00,True
4492561,targets,0.000e+00,True
8232323,x_continuous,0.000e+00,True
8232323,x_kg,0.000e+00,True
8232323,x_static,0.000e+00,True
8232323,x_hilda,0.000e+00,True
8232323,targets,0.000e+00,True
5765720,x_continuous,0.000e+00,True
5765720,x_kg,0.000e+00,True
5765720,x_static,0.000e+00,True
5765720,x_hilda,0.000e+00,True
5765720,targets,0.000e+00,True
1438011,x_continuous,0.000e+00,True
1438011,x_kg,0.000e+00,True
1438011,x_static,0.000e+00,True
1438011,x_hilda,0.000e+00,True
1438011,targets,0.000e+00,True
5224461,x_continuous,0.000e+00,True
5224461,x_kg,0.000e+00,True
5224461,x_static,0.000e+00,True
5224461,x_hilda,0.000e+00,True
5224461,targets,0.000e+00,True
8360177,x_continuous,0.000e+00,True
8360177,x_kg,0.000e+00,True
8360177,x_static,0.000e+00,True
8360177,x_hilda,0.000e+00,True
8360177,targets,0.000e+00,True
2231289,x_continuous,0.000e+00,True
2231289,x_kg,0.000e+00,True
2231289,x_static,0.000e+00,True
2231289,x_hilda,0.000e+00,True
2231289,targets,0.000e+00,True
9426184,x_continuous,0.000e+00,True
9426184,x_kg,0.000e+00,True
9426184,x_static,0.000e+00,True
