pool_size,file_size,file_index,wall_us
100000,10240,49146,1074.23
1000000,10240,325830,12604.01
100000,10240,82890,15094.30
100000,10240,63300,14976.52
100000,10240,22833,16333.70
100000,10240,37345,721.68
1000000,10240,465676,731.50
1000000,10240,602342,16235.46
100000,10240,52022,18485.59
100000,10240,31816,14115.43
100000,10240,1013,742.59
1000000,10240,983253,228.52
1000000,10240,604941,418.36
100000,10240,72465,462.80
100000,10240,68945,19579.96
1000000,10240,312941,1414.87
1000000,10240,239876,10811.32
100000,10240,88895,710.03
1000000,10240,752244,548.97
1000000,10240,757656,425.41
100000,10240,46176,23915.77
1000000,10240,246525,1134.96
100000,10240,9508,16346.75
100000,10240,22957,18875.21
100000,10240,78166,8927.11
1000000,10240,150776,1001.00
1000000,10240,287061,16876.52
100000,10240,30828,13794.04
1000000,10240,780788,1158.22
1000000,10240,651493,20457.22
1000000,10240,943914,228.90
1000000,10240,691710,987.42
100000,10240,53282,12767.21
1000000,10240,554064,1107.10
1000000,10240,556464,714.55
100000,10240,50860,14371.83
1000000,10240,213442,1209.13
1000000,10240,161141,826.31
1000000,10240,415229,14076.80
1000000,10240,41801,20663.31
100000,10240,62108,20437.92
1000000,10240,153878,977.27
100000,10240,16769,804.05
100000,10240,98453,15921.93
100000,10240,17556,24243.42
1000000,10240,943462,243.84
1000000,10240,804308,862.94
100000,10240,39365,15958.23
1000000,10240,60289,1122.22
1000000,10240,559699,1286.05
100000,10240,99154,608.18
1000000,10240,691281,457.10
100000,10240,35043,19904.21
100000,10240,43583,15071.17
100000,10240,14996,18131.39
1000000,10240,777265,1195.74
100000,10240,68012,515.12
1000000,10240,120034,440.33
1000000,10240,508817,741.02
100000,10240,11915,11380.53
1000000,10240,155539,1015.49
100000,10240,80482,13968.57
1000000,10240,707287,758.58
1000000,10240,322763,18380.28
1000000,10240,394000,646.56
100000,10240,20807,32522.55
100000,10240,38219,867.84
100000,10240,74560,737.29
100000,10240,29548,18059.87
1000000,10240,392722,10977.98
100000,10240,11491,13039.23
100000,10240,29260,779.52
100000,10240,35992,462.25
100000,10240,64213,15994.23
100000,10240,44396,704.19
100000,10240,84015,10260.75
1000000,10240,89691,1165.74
100000,10240,53242,608.84
100000,10240,77356,655.53
1000000,10240,746568,692.08
1000000,10240,500531,17615.86
100000,10240,659,793.98
1000000,10240,461834,694.38
1000000,10240,157936,19446.54
1000000,10240,909051,318.50
100000,10240,9287,935.68
1000000,10240,205349,19804.26
100000,10240,59566,1956.78
1000000,10240,541585,539.27
1000000,10240,454484,612.07
1000000,10240,743647,508.81
1000000,10240,184630,13464.82
1000000,10240,105317,14696.82
100000,10240,67889,16632.76
100000,10240,32325,21725.15
1000000,10240,222796,475.91
1000000,10240,471288,428.51
100000,10240,33612,18224.05
1000000,10240,930000,261.32
100000,10240,3777,16250.00
1000000,10240,561936,11212.66
1000000,10240,834197,366.84
1000000,10240,188301,13835.77
1000000,10240,81961,350.26
1000000,10240,592910,310.88
100000,10240,45073,19388.65
1000000,10240,766150,367.40
100000,10240,79194,400.44
100000,10240,26094,18195.11
1000000,10240,392917,19252.58
100000,10240,89957,533.12
100000,10240,20036,21061.38
100000,10240,96110,438.68
100000,10240,3584,12030.84
100000,10240,91089,14377.60
1000000,10240,347115,15015.64
100000,10240,28271,13502.91
100000,10240,1504,596.06
100000,10240,29083,17880.74
1000000,10240,982663,325.81
100000,10240,42081,472.08
1000000,10240,218716,321.40
1000000,10240,507711,525.13
1000000,10240,545341,12968.86
1000000,10240,758472,725.97
100000,10240,43923,18474.08
1000000,10240,285320,1070.35
100000,10240,8957,637.41
1000000,10240,198553,396.86
1000000,10240,711160,16760.94
100000,10240,45451,15869.27
100000,10240,94337,751.18
100000,10240,63782,20470.88
100000,10240,87670,16563.62
1000000,10240,846648,815.97
1000000,10240,228026,25704.50
100000,10240,54638,18833.51
1000000,10240,712052,598.49
100000,10240,76406,343.79
100000,10240,60420,632.84
100000,10240,71267,326.00
100000,10240,96458,8898.91
1000000,10240,454928,440.23
100000,10240,43704,881.90
1000000,10240,421860,715.45
1000000,10240,46050,423.18
1000000,10240,105656,306.59
100000,10240,59432,16887.99
100000,10240,51435,13670.15
1000000,10240,603943,11409.72
100000,10240,8851,492.08
100000,10240,95320,24556.34
100000,10240,12999,718.21
100000,10240,86991,22237.15
1000000,10240,745695,485.93
1000000,10240,672844,437.29
1000000,10240,27254,13571.10
100000,10240,10350,916.31
1000000,10240,123724,15355.96
1000000,10240,627971,692.20
100000,10240,84136,24262.65
1000000,10240,144697,16478.48
100000,10240,97978,617.60
1000000,10240,344136,624.17
1000000,10240,938061,231.43
1000000,10240,975856,117.96
100000,10240,8302,514.24
1000000,10240,949721,102.31
100000,10240,24775,290.90
1000000,10240,485171,403.36
1000000,10240,85927,19059.28
1000000,10240,147247,15521.08
1000000,10240,47652,566.73
1000000,10240,205507,16093.09
100000,10240,69806,18582.41
100000,10240,51987,1121.90
1000000,10240,22323,17331.36
100000,10240,56729,19709.30
100000,10240,8609,972.17
1000000,10240,740842,329.65
100000,10240,5796,16906.03
100000,10240,29657,17758.02
1000000,10240,486017,953.15
100000,10240,49613,491.34
100000,10240,2052,19935.72
1000000,10240,639280,16575.45
1000000,10240,483767,20283.72
100000,10240,70111,949.75
100000,10240,92216,15267.30
100000,10240,92895,7618.75
100000,10240,57008,9601.80
1000000,10240,290354,412.05
100000,10240,26517,651.96
100000,10240,90971,15351.05
100000,10240,34099,19704.27
1000000,10240,209140,712.51
100000,10240,73140,10189.02
1000000,10240,502790,11819.58
100000,10240,20843,694.81
1000000,10240,203663,22913.12
1000000,10240,246184,665.52
100000,10240,64574,14780.72
1000000,10240,779020,451.00
1000000,10240,208651,12803.09
100000,10240,41662,774.31
1000000,10240,856036,121.06
100000,10240,45829,1020.34
1000000,10240,295744,13793.85
1000000,10240,767260,621.26
1000000,10240,571194,338.53
