START TIME: Tue Jun 23 18:56:33 CEST 2026
arm,sample_idx,wall_ms
merged_small,87,187.275
merged_small,88,138.340
merged_small,89,166.254
merged_small,90,156.097
merged_small,91,182.113
merged_small,92,123.116
merged_small,93,85.538
merged_small,94,184.998
merged_small,95,150.584
merged_small,96,156.425
merged_small,97,113.844
merged_small,98,162.662
merged_small,99,203.412
merged_big,0,303.970
merged_big,1,296.037
merged_big,2,281.827
merged_big,3,311.038
merged_big,4,252.686
merged_big,5,296.417
merged_big,6,250.112
merged_big,7,267.229
merged_big,8,258.072
merged_big,9,272.472
merged_big,10,264.275
merged_big,11,285.858
merged_big,12,268.903
merged_big,13,277.685
merged_big,14,243.800
merged_big,15,286.875
merged_big,16,263.249
merged_big,17,247.361
merged_big,18,322.935
merged_big,19,276.178
merged_big,20,256.222
merged_big,21,406.555
merged_big,22,415.606
merged_big,23,355.891
merged_big,24,349.019
merged_big,25,414.346
merged_big,26,361.345
merged_big,27,250.883
merged_big,28,260.277
merged_big,29,245.320
merged_big,30,311.159
merged_big,31,349.513
merged_big,32,315.585
merged_big,33,324.505
merged_big,34,272.892
merged_big,35,205.800
merged_big,36,278.665
merged_big,37,370.936
merged_big,38,328.150
merged_big,39,298.287
merged_big,40,262.972
merged_big,41,256.694
merged_big,42,253.499
merged_big,43,246.346
merged_big,44,280.067
merged_big,45,281.214
merged_big,46,291.258
merged_big,47,277.178
merged_big,48,241.972
merged_big,49,318.882
merged_big,50,357.413
merged_big,51,365.982
merged_big,52,285.961
merged_big,53,276.754
merged_big,54,307.158
merged_big,55,414.203
merged_big,56,255.221
merged_big,57,415.284
merged_big,58,398.768
merged_big,59,419.758
merged_big,60,384.607
merged_big,61,321.429
merged_big,62,330.900
merged_big,63,276.842
merged_big,64,277.366
merged_big,65,291.758
merged_big,66,315.853
merged_big,67,269.912
merged_big,68,272.836
merged_big,69,288.376
merged_big,70,297.076
merged_big,71,295.808
merged_big,72,286.372
merged_big,73,289.329
merged_big,74,274.079
merged_big,75,301.948
merged_big,76,284.604
merged_big,77,264.099
merged_big,78,257.169
merged_big,79,303.752
merged_big,80,340.027
merged_big,81,266.084
merged_big,82,410.668
merged_big,83,335.467
merged_big,84,311.504
merged_big,85,377.262
merged_big,86,317.463
merged_big,87,327.151
merged_big,88,283.067
merged_big,89,267.284
merged_big,90,268.150
merged_big,91,281.368
merged_big,92,273.039
merged_big,93,219.322
merged_big,94,317.205
merged_big,95,272.668
merged_big,96,302.561
merged_big,97,239.333
merged_big,98,273.356
merged_big,99,315.301
multi,0,8115.206
multi,1,7794.803
multi,2,7923.419
multi,3,8008.547
multi,4,8310.028
multi,5,7860.187
multi,6,7772.022
multi,7,7937.009
multi,8,7860.435
multi,9,7933.308
multi,10,7939.747
multi,11,7937.877
multi,12,7836.958
multi,13,7814.618
multi,14,7936.198
multi,15,8121.142
multi,16,7853.662
multi,17,7863.702
multi,18,8694.830
multi,19,7846.072
multi,20,7962.577
multi,21,7893.638
multi,22,7935.627
multi,23,7846.449
multi,24,8020.300
multi,25,7999.595
multi,26,8005.040
multi,27,7769.708
multi,28,7928.126
multi,29,7778.736
multi,30,8151.954
multi,31,7909.003
multi,32,7658.782
multi,33,8415.854
multi,34,7991.181
multi,35,7658.432
multi,36,8250.253
multi,37,8252.029
multi,38,8035.848
multi,39,8191.831
multi,40,7910.085
multi,41,7998.707
multi,42,8040.215
multi,43,7885.046
multi,44,7939.474
multi,45,8587.445
multi,46,7847.951
multi,47,7939.115
multi,48,7947.636
multi,49,7912.967
multi,50,7983.345
multi,51,7991.913
multi,52,7857.490
multi,53,8046.065
multi,54,7957.970
multi,55,7970.713
multi,56,8004.659
multi,57,7974.594
multi,58,8422.181
multi,59,7977.829
multi,60,7968.696
multi,61,8129.341
multi,62,7975.871
multi,63,7870.061
multi,64,8064.030
multi,65,8021.486
multi,66,8065.358
multi,67,8036.071
multi,68,8010.265
multi,69,8033.621
multi,70,7941.834
multi,71,8120.903
multi,72,8089.471
multi,73,8398.824
multi,74,7638.430
multi,75,7855.339
multi,76,8147.554
multi,77,7899.101
multi,78,7893.211
multi,79,7992.411
multi,80,8071.353
multi,81,7930.692
multi,82,8164.918
multi,83,8005.232
multi,84,7874.533
multi,85,8000.839
multi,86,8017.463
multi,87,7988.086
multi,88,7901.969
multi,89,8542.011
multi,90,7846.053
multi,91,7985.186
multi,92,7886.429
multi,93,7878.054
multi,94,8107.662
multi,95,7955.062
multi,96,7925.952
multi,97,7842.299
multi,98,7982.352
multi,99,7991.761

--- summary (ms per sample) ---
  single_small   median=  1329.3 ms  mean=  1386.3 ms  min= 1077.7  max=  4439.3  cold(first10)=  1714.2  warm(last10)=  1377.1
  single_big     median=  5513.1 ms  mean=  5507.8 ms  min= 5096.5  max=  5950.8  cold(first10)=  5570.8  warm(last10)=  5459.9
  merged_small   median=   174.1 ms  mean=   176.1 ms  min=   65.3  max=   363.1  cold(first10)=   162.7  warm(last10)=   151.9
  merged_big     median=   286.2 ms  mean=   299.9 ms  min=  205.8  max=   419.8  cold(first10)=   279.0  warm(last10)=   276.2
  multi          median=  7969.7 ms  mean=  7992.6 ms  min= 7638.4  max=  8694.8  cold(first10)=  7951.5  warm(last10)=  7940.1
END TIME: Tue Jun 23 19:22:58 CEST 2026
