job_id,dataset,ranks,num_workers,seed,step,wall_s,startup_s,samples_total,sps_wall,b_med,b_mean,b_p95
41825199,single,4,12,46,76,7226.0,321.2,49600,3.45,0.152,9.283,79.050
41825201,merged,1,20,46,77,389.0,100.8,12400,52.26,0.152,0.153,0.161
41825202,single,4,8,46,78,3285.0,72.6,49600,17.67,0.153,1.811,10.789
41825203,merged,8,20,46,79,464.0,103.3,99200,364.43,0.157,0.176,0.212
41825204,single,4,20,46,80,1773.0,89.3,49600,37.18,0.155,0.861,6.028
41825205,merged,4,20,46,81,463.0,122.0,49600,191.69,0.156,0.167,0.185
41825206,single,1,20,46,82,1365.0,80.1,12400,12.38,0.151,0.646,4.060
41825208,single,8,8,46,84,3145.0,113.6,99200,36.57,0.154,1.750,9.886
41825209,merged,1,8,46,85,389.0,77.0,12400,44.40,0.151,0.180,0.162
41825210,single,8,12,46,86,2312.0,70.9,99200,51.14,0.154,1.251,8.557
41825211,merged,8,8,46,87,455.0,90.6,99200,327.84,0.155,0.195,0.204
41825212,single,1,8,46,88,2583.0,70.7,12400,5.51,0.151,1.451,8.839
41825213,merged,1,12,46,89,390.0,96.1,12400,50.76,0.151,0.158,0.161
41825214,single,8,20,46,90,1869.0,72.2,99200,68.87,0.155,0.929,6.847
