index,tensor,candidate,shape,ok,max_diff,mean_diff,n_mismatched,cand_min,cand_max,ref_min,ref_max,cand_uniq,ref_uniq
2289891,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,2.4072799682617188,95470,0.0,7.0,0.0,7.0,"[0.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
1208644,x_continuous,new,"(2, 15, 256, 256)",True,1.9073486328125e-06,1.4459260455623734e-10,0,-18.42068099975586,3.030223846435547,-18.42068099975586,3.030223846435547,,
1208644,x_kg,new,"(2, 1, 256, 256)",False,31.0,15.077117919921875,63748,0.0,29.0,19.0,31.0,"[0.0, 19.0, 27.0, 29.0]","[19.0, 27.0, 29.0, 31.0]"
1208644,x_static,new,"(6, 256, 256)",False,1216.8252284526825,47.74983478052161,235382,-39.0,1218.0,-2.188382625579834,6.852814197540283,,
1208644,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,,
1208644,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,"[0.0, 1.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[0.0, 1.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
1208644,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,1.1598534446166748,393216,-0.7534939646720886,3.0773983001708984,-18.42068099975586,3.030223846435547,,
1208644,x_kg,preprocessed,"(2, 1, 256, 256)",False,31.0,15.077117919921875,63748,0.0,29.0,19.0,31.0,"[0.0, 19.0, 27.0, 29.0]","[19.0, 27.0, 29.0, 31.0]"
1208644,x_static,preprocessed,"(6, 256, 256)",False,3.296881675720215,0.8691301651873382,257438,-3.296881675720215,6.852814197540283,-2.188382625579834,6.852814197540283,,
1208644,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,1.9746856689453125,33427,0.0,7.0,0.0,7.0,,
1208644,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,1.9747772216796875,66854,0.0,7.0,0.0,7.0,"[0.0, 7.0]","[0.0, 1.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
1379075,x_continuous,new,"(2, 15, 256, 256)",True,1.9073486328125e-06,1.7248027006644406e-09,0,-18.42068099975586,1.0,-18.42068099975586,1.0,,
1379075,x_kg,new,"(2, 1, 256, 256)",True,0.0,0.0,0,23.0,28.0,23.0,28.0,"[23.0, 27.0, 28.0]","[23.0, 27.0, 28.0]"
1379075,x_static,new,"(6, 256, 256)",False,583.0642492771149,97.81182175111184,393216,0.0005482714623212814,584.0,-2.184677839279175,2.381718158721924,,
1379075,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,3.0,7.0,3.0,7.0,,
1379075,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,3.0,7.0,3.0,7.0,"[3.0, 4.0, 5.0, 7.0]","[3.0, 4.0, 5.0, 7.0]"
1379075,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,0.3289942106862942,393216,-0.7479886412620544,1.0626699924468994,-18.42068099975586,1.0,,
1379075,x_kg,preprocessed,"(2, 1, 256, 256)",True,0.0,0.0,0,23.0,28.0,23.0,28.0,"[23.0, 27.0, 28.0]","[23.0, 27.0, 28.0]"
1379075,x_static,preprocessed,"(6, 256, 256)",False,3.184660494327545,0.19622846183592615,131071,-1.2691315412521362,2.381718158721924,-2.184677839279175,2.381718158721924,,
1379075,x_hilda_prior,preprocessed,"(1, 256, 256)",False,4.0,2.9412994384765625,65337,7.0,7.0,3.0,7.0,,
1379075,hilda_target,preprocessed,"(2, 256, 256)",False,4.0,2.9410476684570312,130674,7.0,7.0,3.0,7.0,[7.0],"[3.0, 4.0, 5.0, 7.0]"
183561,x_continuous,new,"(2, 15, 256, 256)",True,0.0,0.0,0,-18.42068099975586,0.0,-18.42068099975586,0.0,,
183561,x_kg,new,"(2, 1, 256, 256)",True,0.0,0.0,0,30.0,30.0,30.0,30.0,[30.0],[30.0]
183561,x_static,new,"(6, 256, 256)",False,3273.049730181694,377.2852713095562,65587,0.0,3275.0,-0.7684932351112366,1.9502698183059692,,
183561,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,0.0,0.0,0.0,0.0,,
183561,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,0.0,0.0,0.0,0.0,[0.0],[0.0]
183561,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,1.23418843348821,393216,-0.7534939646720886,0.0,-18.42068099975586,0.0,,
183561,x_kg,preprocessed,"(2, 1, 256, 256)",True,0.0,0.0,0,30.0,30.0,30.0,30.0,[30.0],[30.0]
183561,x_static,preprocessed,"(6, 256, 256)",False,3.296881675720215,1.5616960445202797,393165,-3.296881675720215,2.0,-0.7684932351112366,1.9502698183059692,,
183561,x_hilda_prior,preprocessed,"(1, 256, 256)",True,0.0,0.0,0,0.0,0.0,0.0,0.0,,
183561,hilda_target,preprocessed,"(2, 256, 256)",True,0.0,0.0,0,0.0,0.0,0.0,0.0,[0.0],[0.0]
337075,x_continuous,new,"(2, 15, 256, 256)",True,9.5367431640625e-07,9.296308426757586e-10,0,-2.267634153366089,8.365704536437988,-2.267634153366089,8.365704536437988,,
337075,x_kg,new,"(2, 1, 256, 256)",True,0.0,0.0,0,7.0,26.0,7.0,26.0,"[7.0, 26.0]","[7.0, 26.0]"
337075,x_static,new,"(6, 256, 256)",False,351.5487015247345,84.8421274556284,393214,-141.0,353.7438049316406,-2.12347412109375,2.195103406906128,,
337075,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,1.0,7.0,1.0,7.0,,
337075,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,1.0,7.0,1.0,7.0,"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
337075,x_continuous,preprocessed,"(2, 15, 256, 256)",False,2.3661726489663124,0.03890163250840762,393216,-0.6950629353523254,8.365937232971191,-2.267634153366089,8.365704536437988,,
337075,x_kg,preprocessed,"(2, 1, 256, 256)",True,0.0,0.0,0,7.0,26.0,7.0,26.0,"[7.0, 26.0]","[7.0, 26.0]"
337075,x_static,preprocessed,"(6, 256, 256)",False,3.119236946105957,0.2028829954226441,131073,-1.336203932762146,1.99836003780365,-2.12347412109375,2.195103406906128,,
337075,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,4.5020904541015625,64960,7.0,7.0,1.0,7.0,,
337075,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,4.501808166503906,129920,7.0,7.0,1.0,7.0,[7.0],"[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
74043,x_continuous,new,"(2, 15, 256, 256)",True,9.5367431640625e-07,9.34899920442452e-10,0,-18.42068099975586,9.255383491516113,-18.42068099975586,9.255383491516113,,
74043,x_kg,new,"(2, 1, 256, 256)",False,31.0,0.5860748291015625,2478,0.0,19.0,4.0,31.0,"[0.0, 4.0, 6.0, 7.0, 8.0, 9.0, 17.0, 18.0, 19.0]","[4.0, 6.0, 7.0, 8.0, 9.0, 17.0, 18.0, 19.0, 31.0]"
74043,x_static,new,"(6, 256, 256)",False,2961.1673555374146,159.15260193360433,386873,-374.0,2963.0,-2.7121522426605225,7.174021244049072,,
74043,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,,
74043,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,0.0,7.0,0.0,7.0,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
74043,x_continuous,preprocessed,"(2, 15, 256, 256)",False,18.42068099975586,0.021444726694107057,393108,-0.7534939646720886,9.255478858947754,-18.42068099975586,9.255383491516113,,
74043,x_kg,preprocessed,"(2, 1, 256, 256)",False,31.0,0.5860748291015625,2478,0.0,19.0,4.0,31.0,"[0.0, 4.0, 6.0, 7.0, 8.0, 9.0, 17.0, 18.0, 19.0]","[4.0, 6.0, 7.0, 8.0, 9.0, 17.0, 18.0, 19.0, 31.0]"
74043,x_static,preprocessed,"(6, 256, 256)",False,3.296881675720215,0.2228179767800946,136160,-3.296881675720215,7.174021244049072,-2.7121522426605225,7.174021244049072,,
74043,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,3.8620758056640625,62924,0.0,7.0,0.0,7.0,,
74043,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,3.8854293823242188,125848,0.0,7.0,0.0,7.0,"[0.0, 7.0]","[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
785197,x_continuous,new,"(2, 15, 256, 256)",True,4.76837158203125e-07,1.872239844639504e-09,0,-3.365819215774536,4.524604797363281,-3.365819215774536,4.524604797363281,,
785197,x_kg,new,"(2, 1, 256, 256)",True,0.0,0.0,0,2.0,3.0,2.0,3.0,"[2.0, 3.0]","[2.0, 3.0]"
785197,x_static,new,"(6, 256, 256)",False,377.14191222190857,73.44044929567049,393216,0.03164977207779884,378.0,-2.0760159492492676,2.341301441192627,,
785197,x_hilda_prior,new,"(1, 256, 256)",True,0.0,0.0,0,1.0,7.0,1.0,7.0,,
785197,hilda_target,new,"(2, 256, 256)",True,0.0,0.0,0,1.0,7.0,1.0,7.0,"[1.0, 3.0, 4.0, 5.0, 7.0]","[1.0, 3.0, 4.0, 5.0, 7.0]"
785197,x_continuous,preprocessed,"(2, 15, 256, 256)",False,3.3997700102627277,0.15046138521673666,393216,-0.7479886412620544,4.214568614959717,-3.365819215774536,4.524604797363281,,
785197,x_kg,preprocessed,"(2, 1, 256, 256)",True,0.0,0.0,0,2.0,3.0,2.0,3.0,"[2.0, 3.0]","[2.0, 3.0]"
785197,x_static,preprocessed,"(6, 256, 256)",False,3.0634140372276306,0.20591132688648806,131071,-1.4187732934951782,2.341301679611206,-2.0760159492492676,2.341301441192627,,
785197,x_hilda_prior,preprocessed,"(1, 256, 256)",False,6.0,2.9926910400390625,65293,7.0,7.0,1.0,7.0,,
785197,hilda_target,preprocessed,"(2, 256, 256)",False,6.0,2.9930419921875,130586,7.0,7.0,1.0,7.0,[7.0],"[1.0, 3.0, 4.0, 5.0, 7.0]"
3643450,x_continuous,new,"(2, 15, 256, 256)",True,9.5367431640625e-07,1.2744498937659424e-09,0,-18.42068099975586,3.163884162902832,-18.42068099975586,3.163884162902832,,
