index,tensor,dataset,shape,dtype,min,max,mean,median,std,p25,p75,n_unique,uniq
2853588,hilda_target,legacy,"(2, 256, 256)",torch.float32,0.0,7.0,2.16644287109375,0.0,2.3815136097441147,0.0,5.0,7,"[0.0, 1.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2289891,x_continuous,new,"(2, 15, 256, 256)",torch.float32,-18.42068099975586,8.001367568969727,-0.051006147901305005,0.001245122984983027,2.2982071714835075,0.0,0.04883350897580385,1356165,
2289891,x_kg,new,"(2, 1, 256, 256)",torch.uint8,0.0,29.0,9.346481323242188,9.0,7.09295025842037,0.0,15.0,10,"[0.0, 9.0, 10.0, 15.0, 16.0, 18.0, 19.0, 26.0, 27.0, 29.0]"
2289891,x_static,new,"(6, 256, 256)",torch.float32,-1003.0,2542.0,77.24298719452854,21.68903636932373,183.9384643128712,0.04216493293642998,70.16107940673828,248807,
2289891,x_hilda_prior,new,"(1, 256, 256)",torch.float32,0.0,7.0,2.807647705078125,4.0,1.8755663490782026,0.0,4.0,8,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2289891,hilda_target,new,"(2, 256, 256)",torch.uint8,0.0,7.0,2.8089675903320312,4.0,1.876882476831023,0.0,4.0,8,"[0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0]"
2289891,x_continuous,preprocessed,"(2, 15, 256, 256)",torch.float32,-0.7534939646720886,8.001702308654785,0.2179000527456003,0.0016088091069832444,0.8477735109888533,0.0,0.05431835353374481,1358261,
2289891,x_kg,preprocessed,"(2, 1, 256, 256)",torch.uint8,0.0,29.0,9.346481323242188,9.0,7.09295025842037,0.0,15.0,10,"[0.0, 9.0, 10.0, 15.0, 16.0, 18.0, 19.0, 26.0, 27.0, 29.0]"
2289891,x_static,preprocessed,"(6, 256, 256)",torch.float32,-3.296881675720215,7.9950385093688965,-0.05860556119255895,0.04849856346845627,1.4296995562567154,-0.8785489946603775,1.0,246555,
2289891,x_hilda_prior,preprocessed,"(1, 256, 256)",torch.float32,0.0,7.0,5.21624755859375,7.0,3.0503269197941707,0.0,7.0,2,"[0.0, 7.0]"
2289891,hilda_target,preprocessed,"(2, 256, 256)",torch.float32,0.0,7.0,5.21624755859375,7.0,3.0503269197941707,0.0,7.0,2,"[0.0, 7.0]"
2289891,x_continuous,legacy,"(2, 15, 256, 256)",torch.float32,-18.42068099975586,8.001367568969727,-0.05100614803548939,0.001245122984983027,2.2982071704751927,0.0,0.04883350897580385,1356182,
2289891,x_kg,legacy,"(2, 1, 256, 256)",torch.uint8,9.0,31.0,17.26629638671875,15.0,9.222577326750756,9.0,31.0,10,"[9.0, 10.0, 15.0, 16.0, 18.0, 19.0, 26.0, 27.0, 29.0, 31.0]"
2289891,x_static,legacy,"(6, 256, 256)",torch.float32,-2.3945300579071045,7.9950385093688965,0.2582784904702201,0.0,1.0035939789736836,-0.24181503802537918,0.7947510480880737,248651,
