START TIME: Thu Jun 11 15:23:45 CEST 2026
Master: as06r4b26:29500
Launch command: uv run accelerate launch     --multi_gpu     --num_processes $(( 1 * 4 ))     --num_machines 1     --machine_rank ${SLURM_PROCID}     --main_process_ip as06r4b26     --main_process_port 29500     --mixed_precision bf16     --dynamo_backend no     /gpfs/scratch/bsc32/bsc096444/ai4land-tfm/src/ai4land/training/train.py     --config-name debug-single     system.slurm_job_id=41654672     training.resume.path=
[2026-06-11 15:25:16,789][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-11 15:25:16,792][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-11 15:25:22,283][root][INFO] - Train: 4480000 samples, Val: 640000 samples
[2026-06-11 15:25:23,720][root][INFO] - Starting training from epoch 1
[2026-06-11 15:27:25,348][root][INFO] - Epoch [1/1], Batch [35/200], Loss: 1.6947 (Overall: 1.1893, Change: 1.2252), TF Ratio: 0.993
[2026-06-11 15:27:25,502][root][INFO] - Epoch [1/1], Batch [36/200], Loss: 1.6953 (Overall: 1.3383, Change: 2.0918), TF Ratio: 0.993
[2026-06-11 15:27:25,656][root][INFO] - Epoch [1/1], Batch [37/200], Loss: 1.6908 (Overall: 1.2828, Change: 1.7763), TF Ratio: 0.993
[2026-06-11 15:27:25,809][root][INFO] - Epoch [1/1], Batch [38/200], Loss: 1.6822 (Overall: 0.9984, Change: 1.7277), TF Ratio: 0.992
[2026-06-11 15:27:25,964][root][INFO] - Epoch [1/1], Batch [39/200], Loss: 1.6756 (Overall: 1.2219, Change: 1.6319), TF Ratio: 0.992
[2026-06-11 15:27:37,722][root][INFO] - Epoch [1/1], Batch [40/200], Loss: 1.6748 (Overall: 1.7026, Change: 1.5856), TF Ratio: 0.992
[2026-06-11 15:27:37,880][root][INFO] - Epoch [1/1], Batch [41/200], Loss: 1.6731 (Overall: 1.1478, Change: 2.0547), TF Ratio: 0.992
[2026-06-11 15:27:38,035][root][INFO] - Epoch [1/1], Batch [42/200], Loss: 1.6763 (Overall: 1.7520, Change: 1.8628), TF Ratio: 0.992
[2026-06-11 15:27:38,188][root][INFO] - Epoch [1/1], Batch [43/200], Loss: 1.6702 (Overall: 1.2921, Change: 1.5399), TF Ratio: 0.991
[2026-06-11 15:27:38,343][root][INFO] - Epoch [1/1], Batch [44/200], Loss: 1.6627 (Overall: 1.1452, Change: 1.5337), TF Ratio: 0.991
[2026-06-11 15:27:38,496][root][INFO] - Epoch [1/1], Batch [45/200], Loss: 1.6594 (Overall: 1.3853, Change: 1.6416), TF Ratio: 0.991
[2026-06-11 15:27:38,649][root][INFO] - Epoch [1/1], Batch [46/200], Loss: 1.6664 (Overall: 1.7723, Change: 2.1926), TF Ratio: 0.991
[2026-06-11 15:27:38,802][root][INFO] - Epoch [1/1], Batch [47/200], Loss: 1.6630 (Overall: 1.2888, Change: 1.7257), TF Ratio: 0.991
