[2026-06-16 07:27:59,113][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-16 07:27:59,114][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-16 07:28:04,840][root][INFO] - Train: 4480000 samples, Val: 640000 samples
[2026-06-16 07:28:06,265][root][INFO] - Starting training from epoch 1
[2026-06-16 07:28:30,883][root][INFO] - Epoch [1/5], Batch [1/300], Loss: 2.1774 (Overall: 2.0538, Change: 2.3010), TF Ratio: 1.000
[2026-06-16 07:28:31,039][root][INFO] - Epoch [1/5], Batch [2/300], Loss: 2.1745 (Overall: 2.1192, Change: 2.2238), TF Ratio: 1.000
[2026-06-16 07:28:31,194][root][INFO] - Epoch [1/5], Batch [3/300], Loss: 2.1720 (Overall: 2.0891, Change: 2.2448), TF Ratio: 0.999
[2026-06-16 07:28:31,815][root][INFO] - Epoch [1/5], Batch [4/300], Loss: 2.1858 (Overall: 2.2301, Change: 2.2249), TF Ratio: 0.999
[2026-06-16 07:28:31,971][root][INFO] - Epoch [1/5], Batch [5/300], Loss: 2.1303 (Overall: 1.8276, Change: 1.9889), TF Ratio: 0.999
[2026-06-16 07:28:32,125][root][INFO] - Epoch [1/5], Batch [6/300], Loss: 2.1020 (Overall: 1.9531, Change: 1.9682), TF Ratio: 0.999
[2026-06-16 07:28:32,278][root][INFO] - Epoch [1/5], Batch [7/300], Loss: 2.0590 (Overall: 1.8463, Change: 1.7558), TF Ratio: 0.999
[2026-06-16 07:28:32,436][root][INFO] - Epoch [1/5], Batch [8/300], Loss: 2.0593 (Overall: 1.8256, Change: 2.2960), TF Ratio: 0.998
[2026-06-16 07:28:32,591][root][INFO] - Epoch [1/5], Batch [9/300], Loss: 2.0356 (Overall: 1.7625, Change: 1.9300), TF Ratio: 0.998
[2026-06-16 07:28:32,745][root][INFO] - Epoch [1/5], Batch [10/300], Loss: 2.0034 (Overall: 1.6965, Change: 1.7315), TF Ratio: 0.998
[2026-06-16 07:28:32,899][root][INFO] - Epoch [1/5], Batch [11/300], Loss: 1.9816 (Overall: 1.6536, Change: 1.8737), TF Ratio: 0.998
[2026-06-16 07:28:33,055][root][INFO] - Epoch [1/5], Batch [12/300], Loss: 1.9777 (Overall: 2.0435, Change: 1.8247), TF Ratio: 0.998
[2026-06-16 07:28:33,210][root][INFO] - Epoch [1/5], Batch [13/300], Loss: 1.9724 (Overall: 1.7647, Change: 2.0533), TF Ratio: 0.997
[2026-06-16 07:28:33,365][root][INFO] - Epoch [1/5], Batch [14/300], Loss: 1.9637 (Overall: 1.8363, Change: 1.8646), TF Ratio: 0.997
[2026-06-16 07:28:33,519][root][INFO] - Epoch [1/5], Batch [15/300], Loss: 1.9503 (Overall: 1.6470, Change: 1.8782), TF Ratio: 0.997
[2026-06-16 07:28:33,675][root][INFO] - Epoch [1/5], Batch [16/300], Loss: 1.9441 (Overall: 1.8537, Change: 1.8497), TF Ratio: 0.997
[2026-06-16 07:28:33,836][root][INFO] - Epoch [1/5], Batch [17/300], Loss: 1.9326 (Overall: 1.7058, Change: 1.7905), TF Ratio: 0.997
[2026-06-16 07:28:33,991][root][INFO] - Epoch [1/5], Batch [18/300], Loss: 1.9192 (Overall: 1.7566, Change: 1.6274), TF Ratio: 0.996
[2026-06-16 07:28:34,145][root][INFO] - Epoch [1/5], Batch [19/300], Loss: 1.9228 (Overall: 1.8672, Change: 2.1061), TF Ratio: 0.996
[2026-06-16 07:28:45,512][root][INFO] - Epoch [1/5], Batch [20/300], Loss: 1.9004 (Overall: 1.3600, Change: 1.5900), TF Ratio: 0.996
[2026-06-16 07:28:45,673][root][INFO] - Epoch [1/5], Batch [21/300], Loss: 1.8798 (Overall: 1.3690, Change: 1.5682), TF Ratio: 0.996
[2026-06-16 07:28:45,829][root][INFO] - Epoch [1/5], Batch [22/300], Loss: 1.8692 (Overall: 1.4434, Change: 1.8480), TF Ratio: 0.996
[2026-06-16 07:28:45,983][root][INFO] - Epoch [1/5], Batch [23/300], Loss: 1.8579 (Overall: 1.3417, Change: 1.8765), TF Ratio: 0.995
[2026-06-16 07:28:46,598][root][INFO] - Epoch [1/5], Batch [24/300], Loss: 1.8498 (Overall: 1.3806, Change: 1.9458), TF Ratio: 0.995
[2026-06-16 07:28:46,753][root][INFO] - Epoch [1/5], Batch [25/300], Loss: 1.8371 (Overall: 1.4005, Change: 1.6674), TF Ratio: 0.995
[2026-06-16 07:28:46,907][root][INFO] - Epoch [1/5], Batch [26/300], Loss: 1.8182 (Overall: 1.2854, Change: 1.4053), TF Ratio: 0.995
[2026-06-16 07:28:47,061][root][INFO] - Epoch [1/5], Batch [27/300], Loss: 1.8020 (Overall: 1.3556, Change: 1.4033), TF Ratio: 0.995
[2026-06-16 07:28:47,218][root][INFO] - Epoch [1/5], Batch [28/300], Loss: 1.7939 (Overall: 1.4673, Change: 1.6864), TF Ratio: 0.994
[2026-06-16 07:28:47,373][root][INFO] - Epoch [1/5], Batch [29/300], Loss: 1.7840 (Overall: 1.1350, Change: 1.8794), TF Ratio: 0.994
[2026-06-16 07:28:47,526][root][INFO] - Epoch [1/5], Batch [30/300], Loss: 1.7681 (Overall: 1.2265, Change: 1.3825), TF Ratio: 0.994
[2026-06-16 07:28:47,683][root][INFO] - Epoch [1/5], Batch [31/300], Loss: 1.7627 (Overall: 1.4346, Change: 1.7693), TF Ratio: 0.994
[2026-06-16 07:28:47,839][root][INFO] - Epoch [1/5], Batch [32/300], Loss: 1.7548 (Overall: 1.2786, Change: 1.7384), TF Ratio: 0.994
[2026-06-16 07:28:47,994][root][INFO] - Epoch [1/5], Batch [33/300], Loss: 1.7413 (Overall: 1.2751, Change: 1.3489), TF Ratio: 0.993
[2026-06-16 07:28:48,147][root][INFO] - Epoch [1/5], Batch [34/300], Loss: 1.7371 (Overall: 1.3497, Change: 1.8462), TF Ratio: 0.993
[2026-06-16 07:28:48,302][root][INFO] - Epoch [1/5], Batch [35/300], Loss: 1.7301 (Overall: 1.2777, Change: 1.7035), TF Ratio: 0.993
[2026-06-16 07:28:48,458][root][INFO] - Epoch [1/5], Batch [36/300], Loss: 1.7298 (Overall: 1.5077, Change: 1.9307), TF Ratio: 0.993
[2026-06-16 07:28:48,613][root][INFO] - Epoch [1/5], Batch [37/300], Loss: 1.7268 (Overall: 1.2363, Change: 2.0021), TF Ratio: 0.993
[2026-06-16 07:28:48,768][root][INFO] - Epoch [1/5], Batch [38/300], Loss: 1.7240 (Overall: 1.5436, Change: 1.6965), TF Ratio: 0.992
[2026-06-16 07:28:48,924][root][INFO] - Epoch [1/5], Batch [39/300], Loss: 1.7331 (Overall: 1.5593, Change: 2.6022), TF Ratio: 0.992
[2026-06-16 07:29:02,461][root][INFO] - Epoch [1/5], Batch [40/300], Loss: 1.7303 (Overall: 1.6387, Change: 1.6046), TF Ratio: 0.992
[2026-06-16 07:29:02,625][root][INFO] - Epoch [1/5], Batch [41/300], Loss: 1.7191 (Overall: 1.1969, Change: 1.3428), TF Ratio: 0.992
[2026-06-16 07:29:02,780][root][INFO] - Epoch [1/5], Batch [42/300], Loss: 1.7122 (Overall: 1.2734, Change: 1.5875), TF Ratio: 0.992
[2026-06-16 07:29:02,936][root][INFO] - Epoch [1/5], Batch [43/300], Loss: 1.7055 (Overall: 1.2362, Change: 1.6125), TF Ratio: 0.991
[2026-06-16 07:29:03,236][root][INFO] - Epoch [1/5], Batch [44/300], Loss: 1.7031 (Overall: 1.2918, Change: 1.9076), TF Ratio: 0.991
[2026-06-16 07:29:03,392][root][INFO] - Epoch [1/5], Batch [45/300], Loss: 1.6988 (Overall: 1.2973, Change: 1.7174), TF Ratio: 0.991
[2026-06-16 07:29:03,545][root][INFO] - Epoch [1/5], Batch [46/300], Loss: 1.6982 (Overall: 1.4224, Change: 1.9240), TF Ratio: 0.991
[2026-06-16 07:29:03,701][root][INFO] - Epoch [1/5], Batch [47/300], Loss: 1.6914 (Overall: 1.1828, Change: 1.5751), TF Ratio: 0.991
[2026-06-16 07:29:04,032][root][INFO] - Epoch [1/5], Batch [48/300], Loss: 1.6829 (Overall: 1.1560, Change: 1.4102), TF Ratio: 0.990
[2026-06-16 07:29:04,187][root][INFO] - Epoch [1/5], Batch [49/300], Loss: 1.6845 (Overall: 1.3857, Change: 2.1389), TF Ratio: 0.990
[2026-06-16 07:29:04,350][root][INFO] - Epoch [1/5], Batch [50/300], Loss: 1.6753 (Overall: 1.1446, Change: 1.3044), TF Ratio: 0.990
[2026-06-16 07:29:04,505][root][INFO] - Epoch [1/5], Batch [51/300], Loss: 1.6681 (Overall: 1.2079, Change: 1.4072), TF Ratio: 0.990
[2026-06-16 07:29:04,660][root][INFO] - Epoch [1/5], Batch [52/300], Loss: 1.6627 (Overall: 1.0913, Change: 1.6763), TF Ratio: 0.990
[2026-06-16 07:29:04,816][root][INFO] - Epoch [1/5], Batch [53/300], Loss: 1.6617 (Overall: 1.3185, Change: 1.9072), TF Ratio: 0.989
[2026-06-16 07:29:04,971][root][INFO] - Epoch [1/5], Batch [54/300], Loss: 1.6592 (Overall: 1.2756, Change: 1.7706), TF Ratio: 0.989
[2026-06-16 07:29:05,125][root][INFO] - Epoch [1/5], Batch [55/300], Loss: 1.6562 (Overall: 1.2207, Change: 1.7684), TF Ratio: 0.989
[2026-06-16 07:29:05,280][root][INFO] - Epoch [1/5], Batch [56/300], Loss: 1.6559 (Overall: 1.3099, Change: 1.9784), TF Ratio: 0.989
[2026-06-16 07:29:05,435][root][INFO] - Epoch [1/5], Batch [57/300], Loss: 1.6477 (Overall: 1.1625, Change: 1.2078), TF Ratio: 0.989
[2026-06-16 07:29:05,589][root][INFO] - Epoch [1/5], Batch [58/300], Loss: 1.6435 (Overall: 1.4084, Change: 1.4027), TF Ratio: 0.988
[2026-06-16 07:29:05,744][root][INFO] - Epoch [1/5], Batch [59/300], Loss: 1.6400 (Overall: 1.1476, Change: 1.7197), TF Ratio: 0.988
[2026-06-16 07:29:21,283][root][INFO] - Epoch [1/5], Batch [60/300], Loss: 1.6352 (Overall: 1.0879, Change: 1.6268), TF Ratio: 0.988
[2026-06-16 07:29:21,446][root][INFO] - Epoch [1/5], Batch [61/300], Loss: 1.6326 (Overall: 1.2855, Change: 1.6585), TF Ratio: 0.988
[2026-06-16 07:29:21,601][root][INFO] - Epoch [1/5], Batch [62/300], Loss: 1.6322 (Overall: 1.4127, Change: 1.8021), TF Ratio: 0.988
[2026-06-16 07:29:21,756][root][INFO] - Epoch [1/5], Batch [63/300], Loss: 1.6262 (Overall: 1.0888, Change: 1.4299), TF Ratio: 0.987
[2026-06-16 07:29:22,653][root][INFO] - Epoch [1/5], Batch [64/300], Loss: 1.6206 (Overall: 1.1216, Change: 1.4049), TF Ratio: 0.987
[2026-06-16 07:29:22,808][root][INFO] - Epoch [1/5], Batch [65/300], Loss: 1.6166 (Overall: 1.1300, Change: 1.5913), TF Ratio: 0.987
[2026-06-16 07:29:22,961][root][INFO] - Epoch [1/5], Batch [66/300], Loss: 1.6128 (Overall: 1.1135, Change: 1.6176), TF Ratio: 0.987
[2026-06-16 07:29:23,116][root][INFO] - Epoch [1/5], Batch [67/300], Loss: 1.6111 (Overall: 1.3313, Change: 1.6682), TF Ratio: 0.987
[2026-06-16 07:29:23,271][root][INFO] - Epoch [1/5], Batch [68/300], Loss: 1.6091 (Overall: 1.3280, Change: 1.6308), TF Ratio: 0.986
[2026-06-16 07:29:23,426][root][INFO] - Epoch [1/5], Batch [69/300], Loss: 1.6172 (Overall: 1.4143, Change: 2.9159), TF Ratio: 0.986
[2026-06-16 07:29:23,580][root][INFO] - Epoch [1/5], Batch [70/300], Loss: 1.6142 (Overall: 0.9695, Change: 1.8421), TF Ratio: 0.986
[2026-06-16 07:29:23,734][root][INFO] - Epoch [1/5], Batch [71/300], Loss: 1.6114 (Overall: 1.0958, Change: 1.7308), TF Ratio: 0.986
[2026-06-16 07:29:23,891][root][INFO] - Epoch [1/5], Batch [72/300], Loss: 1.6091 (Overall: 1.0503, Change: 1.8436), TF Ratio: 0.986
[2026-06-16 07:29:24,046][root][INFO] - Epoch [1/5], Batch [73/300], Loss: 1.6054 (Overall: 1.0784, Change: 1.6041), TF Ratio: 0.985
[2026-06-16 07:29:24,199][root][INFO] - Epoch [1/5], Batch [74/300], Loss: 1.6010 (Overall: 1.0407, Change: 1.5120), TF Ratio: 0.985
[2026-06-16 07:29:24,353][root][INFO] - Epoch [1/5], Batch [75/300], Loss: 1.5987 (Overall: 1.1924, Change: 1.6731), TF Ratio: 0.985
[2026-06-16 07:29:24,511][root][INFO] - Epoch [1/5], Batch [76/300], Loss: 1.5947 (Overall: 1.2005, Change: 1.3929), TF Ratio: 0.985
[2026-06-16 07:29:24,665][root][INFO] - Epoch [1/5], Batch [77/300], Loss: 1.5954 (Overall: 1.1945, Change: 2.1023), TF Ratio: 0.985
[2026-06-16 07:29:24,819][root][INFO] - Epoch [1/5], Batch [78/300], Loss: 1.5998 (Overall: 1.6647, Change: 2.2129), TF Ratio: 0.984
[2026-06-16 07:29:24,973][root][INFO] - Epoch [1/5], Batch [79/300], Loss: 1.5967 (Overall: 1.1631, Change: 1.5346), TF Ratio: 0.984
[2026-06-16 07:29:38,002][root][INFO] - Epoch [1/5], Batch [80/300], Loss: 1.5948 (Overall: 1.2000, Change: 1.6936), TF Ratio: 0.984
[2026-06-16 07:29:38,165][root][INFO] - Epoch [1/5], Batch [81/300], Loss: 1.5925 (Overall: 1.2267, Change: 1.5844), TF Ratio: 0.984
[2026-06-16 07:29:38,320][root][INFO] - Epoch [1/5], Batch [82/300], Loss: 1.5902 (Overall: 1.0586, Change: 1.7601), TF Ratio: 0.984
[2026-06-16 07:29:38,474][root][INFO] - Epoch [1/5], Batch [83/300], Loss: 1.5878 (Overall: 1.2808, Change: 1.5046), TF Ratio: 0.983
[2026-06-16 07:29:38,639][root][INFO] - Epoch [1/5], Batch [84/300], Loss: 1.5873 (Overall: 1.2595, Change: 1.8226), TF Ratio: 0.983
[2026-06-16 07:29:38,794][root][INFO] - Epoch [1/5], Batch [85/300], Loss: 1.5855 (Overall: 1.0175, Change: 1.8519), TF Ratio: 0.983
[2026-06-16 07:29:38,948][root][INFO] - Epoch [1/5], Batch [86/300], Loss: 1.5848 (Overall: 1.1445, Change: 1.9101), TF Ratio: 0.983
[2026-06-16 07:29:39,103][root][INFO] - Epoch [1/5], Batch [87/300], Loss: 1.5807 (Overall: 1.0878, Change: 1.3729), TF Ratio: 0.983
[2026-06-16 07:29:39,467][root][INFO] - Epoch [1/5], Batch [88/300], Loss: 1.5796 (Overall: 1.3808, Change: 1.5775), TF Ratio: 0.982
[2026-06-16 07:29:39,623][root][INFO] - Epoch [1/5], Batch [89/300], Loss: 1.5773 (Overall: 1.1633, Change: 1.5958), TF Ratio: 0.982
[2026-06-16 07:29:39,778][root][INFO] - Epoch [1/5], Batch [90/300], Loss: 1.5756 (Overall: 1.2459, Change: 1.6008), TF Ratio: 0.982
[2026-06-16 07:29:39,934][root][INFO] - Epoch [1/5], Batch [91/300], Loss: 1.5702 (Overall: 0.9998, Change: 1.1624), TF Ratio: 0.982
[2026-06-16 07:29:40,095][root][INFO] - Epoch [1/5], Batch [92/300], Loss: 1.5679 (Overall: 1.1133, Change: 1.5994), TF Ratio: 0.982
[2026-06-16 07:29:40,251][root][INFO] - Epoch [1/5], Batch [93/300], Loss: 1.5698 (Overall: 1.6999, Change: 1.7878), TF Ratio: 0.981
[2026-06-16 07:29:40,404][root][INFO] - Epoch [1/5], Batch [94/300], Loss: 1.5676 (Overall: 1.1371, Change: 1.5927), TF Ratio: 0.981
[2026-06-16 07:29:40,558][root][INFO] - Epoch [1/5], Batch [95/300], Loss: 1.5669 (Overall: 1.1114, Change: 1.9020), TF Ratio: 0.981
[2026-06-16 07:29:40,714][root][INFO] - Epoch [1/5], Batch [96/300], Loss: 1.5632 (Overall: 1.0681, Change: 1.3553), TF Ratio: 0.981
[2026-06-16 07:29:40,870][root][INFO] - Epoch [1/5], Batch [97/300], Loss: 1.5606 (Overall: 0.9379, Change: 1.6728), TF Ratio: 0.981
[2026-06-16 07:29:41,023][root][INFO] - Epoch [1/5], Batch [98/300], Loss: 1.5573 (Overall: 0.9244, Change: 1.5613), TF Ratio: 0.980
[2026-06-16 07:29:41,178][root][INFO] - Epoch [1/5], Batch [99/300], Loss: 1.5560 (Overall: 1.0264, Change: 1.8271), TF Ratio: 0.980
[2026-06-16 07:29:55,474][root][INFO] - Epoch [1/5], Batch [100/300], Loss: 1.5538 (Overall: 1.2264, Change: 1.4488), TF Ratio: 0.980
[2026-06-16 07:29:55,639][root][INFO] - Epoch [1/5], Batch [101/300], Loss: 1.5559 (Overall: 1.7066, Change: 1.8186), TF Ratio: 0.980
[2026-06-16 07:29:55,793][root][INFO] - Epoch [1/5], Batch [102/300], Loss: 1.5565 (Overall: 1.4311, Change: 1.7955), TF Ratio: 0.980
[2026-06-16 07:29:55,947][root][INFO] - Epoch [1/5], Batch [103/300], Loss: 1.5553 (Overall: 1.1576, Change: 1.7076), TF Ratio: 0.979
[2026-06-16 07:29:56,102][root][INFO] - Epoch [1/5], Batch [104/300], Loss: 1.5549 (Overall: 1.1207, Change: 1.9083), TF Ratio: 0.979
[2026-06-16 07:29:56,259][root][INFO] - Epoch [1/5], Batch [105/300], Loss: 1.5558 (Overall: 1.4818, Change: 1.8304), TF Ratio: 0.979
[2026-06-16 07:29:56,412][root][INFO] - Epoch [1/5], Batch [106/300], Loss: 1.5526 (Overall: 0.8782, Change: 1.5493), TF Ratio: 0.979
