2026-05-29 11:16:51,235 - INFO - Recurrent UNet Model Successfully Configured and Initialized.
2026-05-29 11:16:51,236 - INFO - Starting from scratch (no valid checkpoint provided).
2026-05-29 11:16:51,291 - INFO - Train: 6272000 samples, Val: 896000 samples
2026-05-29 11:16:52,702 - INFO - Starting training from epoch 1
2026-05-29 11:17:08,599 - INFO - Epoch [1/1], Batch [1/50], Loss: 1.0401 (Overall: 2.0801, Change: 0.0000), TF Ratio: 1.000
2026-05-29 11:17:08,756 - INFO - Epoch [1/1], Batch [2/50], Loss: 1.0401 (Overall: 2.0803, Change: 0.0000), TF Ratio: 1.000
2026-05-29 11:17:08,920 - INFO - Epoch [1/1], Batch [3/50], Loss: 1.0433 (Overall: 2.0994, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:17:09,518 - INFO - Epoch [1/1], Batch [4/50], Loss: 1.0420 (Overall: 2.0762, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:17:09,672 - INFO - Epoch [1/1], Batch [5/50], Loss: 1.0362 (Overall: 2.0259, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:17:09,825 - INFO - Epoch [1/1], Batch [6/50], Loss: 1.0325 (Overall: 2.0287, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:17:09,978 - INFO - Epoch [1/1], Batch [7/50], Loss: 1.0297 (Overall: 2.0246, Change: 0.0000), TF Ratio: 0.999
2026-05-29 11:17:10,131 - INFO - Epoch [1/1], Batch [8/50], Loss: 1.0268 (Overall: 2.0133, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:17:10,284 - INFO - Epoch [1/1], Batch [9/50], Loss: 1.0192 (Overall: 1.9173, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:17:10,437 - INFO - Epoch [1/1], Batch [10/50], Loss: 1.0134 (Overall: 1.9226, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:17:10,590 - INFO - Epoch [1/1], Batch [11/50], Loss: 1.0086 (Overall: 1.9211, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:17:19,652 - INFO - Epoch [1/1], Batch [12/50], Loss: 1.0059 (Overall: 1.9528, Change: 0.0000), TF Ratio: 0.998
2026-05-29 11:17:19,809 - INFO - Epoch [1/1], Batch [13/50], Loss: 0.9998 (Overall: 1.8531, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:17:19,963 - INFO - Epoch [1/1], Batch [14/50], Loss: 0.9948 (Overall: 1.8598, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:17:20,115 - INFO - Epoch [1/1], Batch [15/50], Loss: 0.9906 (Overall: 1.8631, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:17:20,269 - INFO - Epoch [1/1], Batch [16/50], Loss: 0.9846 (Overall: 1.7905, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:17:20,422 - INFO - Epoch [1/1], Batch [17/50], Loss: 0.9772 (Overall: 1.7172, Change: 0.0000), TF Ratio: 0.997
2026-05-29 11:17:20,576 - INFO - Epoch [1/1], Batch [18/50], Loss: 0.9722 (Overall: 1.7723, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:17:20,729 - INFO - Epoch [1/1], Batch [19/50], Loss: 0.9668 (Overall: 1.7384, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:17:20,883 - INFO - Epoch [1/1], Batch [20/50], Loss: 0.9629 (Overall: 1.7793, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:17:21,037 - INFO - Epoch [1/1], Batch [21/50], Loss: 0.9577 (Overall: 1.7092, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:17:21,189 - INFO - Epoch [1/1], Batch [22/50], Loss: 0.9524 (Overall: 1.6803, Change: 0.0000), TF Ratio: 0.996
2026-05-29 11:17:21,342 - INFO - Epoch [1/1], Batch [23/50], Loss: 0.9476 (Overall: 1.6840, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:17:32,286 - INFO - Epoch [1/1], Batch [24/50], Loss: 0.9425 (Overall: 1.6493, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:17:32,442 - INFO - Epoch [1/1], Batch [25/50], Loss: 0.9370 (Overall: 1.6101, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:17:32,595 - INFO - Epoch [1/1], Batch [26/50], Loss: 0.9322 (Overall: 1.6281, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:17:32,748 - INFO - Epoch [1/1], Batch [27/50], Loss: 0.9275 (Overall: 1.6108, Change: 0.0000), TF Ratio: 0.995
2026-05-29 11:17:32,902 - INFO - Epoch [1/1], Batch [28/50], Loss: 0.9235 (Overall: 1.6308, Change: 0.0000), TF Ratio: 0.994
