[2026-06-15 14:18:40,122][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-15 14:18:40,124][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-15 14:18:40,641][root][INFO] - Train: 4480000 samples, Val: 640000 samples
[2026-06-15 14:18:41,652][root][INFO] - Starting training from epoch 1
[2026-06-15 14:18:45,346][root][INFO] - Epoch [1/5], Batch [1/300], Loss: 2.1174 (Overall: 2.2291, Change: 2.0058), TF Ratio: 1.000
[2026-06-15 14:18:46,156][root][INFO] - Epoch [1/5], Batch [2/300], Loss: 2.1726 (Overall: 2.1767, Change: 2.2790), TF Ratio: 1.000
[2026-06-15 14:18:46,308][root][INFO] - Epoch [1/5], Batch [3/300], Loss: 2.1073 (Overall: 2.0066, Change: 1.9468), TF Ratio: 0.999
[2026-06-15 14:18:50,873][root][INFO] - Epoch [1/5], Batch [4/300], Loss: 2.1476 (Overall: 2.2797, Change: 2.2573), TF Ratio: 0.999
[2026-06-15 14:18:51,056][root][INFO] - Epoch [1/5], Batch [5/300], Loss: 2.0962 (Overall: 1.8345, Change: 1.9469), TF Ratio: 0.999
[2026-06-15 14:18:51,228][root][INFO] - Epoch [1/5], Batch [6/300], Loss: 2.0525 (Overall: 1.8269, Change: 1.8409), TF Ratio: 0.999
[2026-06-15 14:18:51,464][root][INFO] - Epoch [1/5], Batch [7/300], Loss: 2.0349 (Overall: 1.8238, Change: 2.0347), TF Ratio: 0.999
[2026-06-15 14:18:53,798][root][INFO] - Epoch [1/5], Batch [8/300], Loss: 2.0094 (Overall: 1.8250, Change: 1.8360), TF Ratio: 0.998
[2026-06-15 14:18:53,952][root][INFO] - Epoch [1/5], Batch [9/300], Loss: 1.9863 (Overall: 1.6975, Change: 1.9058), TF Ratio: 0.998
[2026-06-15 14:18:54,105][root][INFO] - Epoch [1/5], Batch [10/300], Loss: 1.9609 (Overall: 1.5668, Change: 1.8976), TF Ratio: 0.998
[2026-06-15 14:18:54,257][root][INFO] - Epoch [1/5], Batch [11/300], Loss: 1.9355 (Overall: 1.5782, Change: 1.7846), TF Ratio: 0.998
