dataset,num_workers,batch_idx,wall_ms
single,1,0,11957.04
single,1,1,12891.65
single,1,2,11825.08
single,1,3,10963.32
single,1,4,10421.26
single,1,5,11179.53
single,1,6,10104.30
single,1,7,10537.76
single,1,8,10021.93
single,1,9,10851.15
single,1,10,10601.77
single,1,11,10706.58
single,1,12,11022.71
single,1,13,19091.07
single,1,14,15368.72
single,1,15,9655.17
single,1,16,9559.08
single,1,17,9842.21
single,1,18,18046.42
single,1,19,10423.32
single,1,20,9707.10
single,1,21,11936.93
single,1,22,17412.67
single,1,23,28304.75
single,1,24,9709.57
single,1,25,22189.76
single,1,26,9722.71
single,1,27,10092.86
single,1,28,10066.56
single,1,29,10780.06
single,1,30,10023.89
single,1,31,9193.77
single,1,32,33319.50
single,1,33,15009.66
single,1,34,10008.19
single,1,35,12650.00
single,1,36,10134.02
single,1,37,10432.44
single,1,38,15954.32
single,1,39,12368.95
single,4,0,10703.35
single,4,1,3145.27
single,4,2,0.11
single,4,3,0.10
single,4,4,6366.07
single,4,5,3661.50
single,4,6,0.10
single,4,7,3226.13
single,4,8,3399.66
single,4,9,3674.78
single,4,10,0.09
single,4,11,2796.61
single,4,12,3296.32
single,4,13,4661.32
single,4,14,0.07
single,4,15,2165.68
single,4,16,3376.85
single,4,17,4291.26
single,4,18,0.08
single,4,19,2818.97
single,4,20,2839.21
single,4,21,4736.16
single,4,22,0.30
single,4,23,2776.20
single,4,24,2728.47
single,4,25,4604.52
single,4,26,0.19
single,4,27,2579.52
single,4,28,3082.33
single,4,29,4919.43
single,4,30,0.16
single,4,31,1845.99
single,4,32,3646.82
single,4,33,4609.84
single,4,34,0.28
single,4,35,2142.69
single,4,36,3930.06
single,4,37,4840.99
single,4,38,0.20
single,4,39,2142.83
single,8,0,12795.72
single,8,1,1013.82
single,8,2,0.14
single,8,3,0.13
single,8,4,0.12
single,8,5,0.21
single,8,6,0.03
single,8,7,0.21
single,8,8,11175.47
single,8,9,384.98
single,8,10,290.95
single,8,11,0.20
single,8,12,0.11
single,8,13,0.12
single,8,14,0.04
single,8,15,0.11
single,8,16,12722.67
single,8,17,0.19
single,8,18,1349.77
single,8,19,0.11
single,8,20,0.03
single,8,21,0.18
single,8,22,1050.91
single,8,23,0.23
single,8,24,9845.83
single,8,25,0.47
single,8,26,2092.47
single,8,27,0.22
single,8,28,0.07
single,8,29,0.07
single,8,30,0.24
single,8,31,0.18
single,8,32,9901.14
single,8,33,0.19
single,8,34,2648.69
single,8,35,0.12
single,8,36,0.41
single,8,37,0.17
single,8,38,0.11
single,8,39,0.24
single,12,0,15332.79
single,12,1,224.44
single,12,2,0.25
single,12,3,0.16
single,12,4,0.15
single,12,5,790.05
single,12,6,0.22
single,12,7,0.16
single,12,8,0.11
single,12,9,0.05
single,12,10,0.16
single,12,11,0.12
single,12,12,9678.68
single,12,13,1373.29
single,12,14,0.12
single,12,15,0.23
single,12,16,0.20
single,12,17,623.73
single,12,18,0.17
single,12,19,0.13
single,12,20,0.11
single,12,21,0.12
single,12,22,0.04
