dataset,num_workers,batch_idx,wall_ms
single,1,0,16456.68
single,1,1,10861.76
single,1,2,11729.83
single,1,3,10402.16
single,1,4,14534.59
single,1,5,10140.17
single,1,6,9629.23
single,1,7,10605.83
single,1,8,10058.55
single,1,9,12520.19
single,1,10,11670.87
single,1,11,10234.27
single,1,12,14002.82
single,1,13,10433.67
single,1,14,18364.95
single,1,15,16344.19
single,1,16,9690.59
single,1,17,18226.07
single,1,18,9865.45
single,1,19,9671.93
single,1,20,9841.69
single,1,21,10292.34
single,1,22,11294.99
single,1,23,9535.89
single,1,24,23140.03
single,1,25,26482.09
single,1,26,9832.66
single,1,27,9837.65
single,1,28,10071.26
single,1,29,9913.71
single,1,30,9490.58
single,1,31,9552.39
single,1,32,9495.58
single,1,33,10827.97
single,1,34,13585.44
single,1,35,10026.93
single,1,36,14915.53
single,1,37,23538.78
single,1,38,10620.12
single,1,39,10407.77
single,4,0,10621.38
single,4,1,1124.42
single,4,2,0.13
single,4,3,0.03
single,4,4,8803.54
single,4,5,2661.98
single,4,6,0.15
single,4,7,0.14
single,4,8,15507.20
single,4,9,0.10
single,4,10,0.45
single,4,11,0.06
single,4,12,10424.30
single,4,13,0.31
single,4,14,0.03
single,4,15,0.11
single,4,16,9840.03
single,4,17,0.18
single,4,18,0.03
single,4,19,0.11
single,4,20,10320.72
single,4,21,281.60
single,4,22,0.16
single,4,23,0.03
single,4,24,9854.93
single,4,25,1157.98
single,4,26,0.08
single,4,27,0.03
single,4,28,9130.56
single,4,29,2087.65
single,4,30,0.33
single,4,31,0.05
single,4,32,7949.22
single,4,33,3081.93
single,4,34,0.15
single,4,35,0.16
single,4,36,7450.54
single,4,37,3428.47
single,4,38,0.18
single,4,39,0.06
single,8,0,11748.31
single,8,1,320.66
single,8,2,441.80
single,8,3,0.14
single,8,4,0.14
single,8,5,133.79
single,8,6,0.26
single,8,7,0.12
single,8,8,11710.63
single,8,9,0.26
single,8,10,416.97
single,8,11,0.17
single,8,12,0.12
single,8,13,938.27
single,8,14,0.55
single,8,15,0.06
single,8,16,9725.06
single,8,17,1021.87
single,8,18,0.15
single,8,19,0.04
single,8,20,0.11
single,8,21,1936.95
single,8,22,0.18
single,8,23,0.04
single,8,24,10731.80
single,8,25,265.81
single,8,26,0.20
single,8,27,0.11
single,8,28,0.03
single,8,29,2736.84
single,8,30,0.11
single,8,31,0.21
single,8,32,8330.30
single,8,33,840.05
single,8,34,0.31
single,8,35,0.03
single,8,36,89.36
single,8,37,3102.88
single,8,38,0.19
single,8,39,0.14
single,12,0,13185.30
single,12,1,2069.02
single,12,2,0.25
single,12,3,0.24
single,12,4,0.05
single,12,5,0.20
single,12,6,0.10
single,12,7,0.03
single,12,8,0.13
single,12,9,0.28
single,12,10,0.03
single,12,11,0.17
single,12,12,11963.68
single,12,13,0.31
single,12,14,0.15
single,12,15,0.17
single,12,16,0.05
single,12,17,2429.31
single,12,18,0.41
single,12,19,0.04
single,12,20,0.24
