dataset,num_workers,batch_idx,wall_ms
single,1,0,16162.90
single,1,1,11852.12
single,1,2,10805.30
single,1,3,10598.58
single,1,4,10896.56
single,1,5,11097.01
single,1,6,10705.47
single,1,7,10781.03
single,1,8,11007.55
single,1,9,11278.69
single,1,10,11444.17
single,1,11,24505.85
single,1,12,16242.98
single,1,13,22788.02
single,1,14,21256.62
single,1,15,10976.57
single,1,16,10625.75
single,1,17,11140.52
single,1,18,9503.01
single,1,19,10921.36
single,1,20,18476.41
single,1,21,10257.94
single,1,22,15565.03
single,1,23,9683.61
single,1,24,10973.48
single,1,25,23733.16
single,1,26,10126.42
single,1,27,9418.93
single,1,28,10248.03
single,1,29,10501.41
single,1,30,20314.77
single,1,31,20247.15
single,1,32,9747.82
single,1,33,20591.76
single,1,34,10224.46
single,1,35,15000.98
single,1,36,9779.23
single,1,37,9388.43
single,1,38,10610.33
single,1,39,9798.57
single,4,0,11419.33
single,4,1,700.16
single,4,2,0.22
single,4,3,0.13
single,4,4,9471.79
single,4,5,2514.89
single,4,6,0.14
single,4,7,0.06
single,4,8,7383.63
single,4,9,4110.05
single,4,10,0.09
single,4,11,0.19
single,4,12,6589.72
single,4,13,4758.55
single,4,14,0.31
single,4,15,0.17
single,4,16,5190.23
single,4,17,5694.23
single,4,18,0.10
single,4,19,0.03
single,4,20,4580.24
single,4,21,6419.26
single,4,22,0.45
single,4,23,295.30
single,4,24,3359.95
single,4,25,6667.22
single,4,26,0.34
single,4,27,258.03
single,4,28,5408.69
single,4,29,4691.07
single,4,30,0.20
single,4,31,2595.63
single,4,32,4127.84
single,4,33,3757.07
single,4,34,0.11
single,4,35,2619.03
single,4,36,3871.47
single,4,37,4639.71
single,4,38,0.09
single,4,39,2718.21
single,8,0,14293.21
single,8,1,0.23
single,8,2,40.68
single,8,3,0.23
single,8,4,0.04
single,8,5,467.29
single,8,6,0.22
single,8,7,0.12
single,8,8,10195.48
single,8,9,1565.42
single,8,10,0.23
single,8,11,0.04
single,8,12,369.87
single,8,13,0.20
single,8,14,0.05
single,8,15,0.11
single,8,16,10139.92
single,8,17,1559.76
single,8,18,0.30
single,8,19,0.04
single,8,20,633.63
single,8,21,0.25
single,8,22,0.15
single,8,23,0.15
single,8,24,9104.53
single,8,25,2140.88
single,8,26,519.87
single,8,27,0.18
single,8,28,449.00
single,8,29,0.20
single,8,30,0.23
single,8,31,0.16
single,8,32,8013.52
single,8,33,2748.28
single,8,34,2454.88
single,8,35,0.18
single,8,36,0.04
single,8,37,0.11
single,8,38,0.23
single,8,39,0.15
single,12,0,18602.30
single,12,1,0.31
single,12,2,80.00
single,12,3,0.19
single,12,4,0.11
single,12,5,0.12
single,12,6,0.08
single,12,7,0.04
single,12,8,0.09
single,12,9,0.16
single,12,10,0.03
single,12,11,0.13
single,12,12,14503.40
single,12,13,0.10
single,12,14,0.13
single,12,15,0.13
single,12,16,0.20
single,12,17,0.03
single,12,18,0.08
single,12,19,0.09
single,12,20,0.07
single,12,21,0.25
single,12,22,0.10
single,12,23,0.06
single,12,24,12653.23
single,12,25,0.22
single,12,26,0.03
single,12,27,0.14
single,12,28,0.07
single,12,29,0.17
single,12,30,0.03
single,12,31,1302.01
single,12,32,0.16
single,12,33,0.13
single,12,34,0.08
single,12,35,0.09
single,12,36,11367.71
single,12,37,0.21
single,12,38,0.12
single,12,39,0.04
single,20,0,15915.70
single,20,1,0.26
single,20,2,0.11
single,20,3,0.15
single,20,4,0.04
single,20,5,0.18
single,20,6,0.06
single,20,7,0.32
single,20,8,812.88
single,20,9,0.19
single,20,10,0.22
single,20,11,0.07
single,20,12,0.09
single,20,13,0.08
single,20,14,0.03
single,20,15,132.56
single,20,16,0.35
single,20,17,0.12
single,20,18,0.07
single,20,19,368.27
single,20,20,10823.27
single,20,21,0.23
single,20,22,0.19
single,20,23,0.14
single,20,24,0.08
single,20,25,0.03
single,20,26,0.11
single,20,27,0.15
single,20,28,936.60
single,20,29,655.97
single,20,30,0.18
single,20,31,438.48
single,20,32,0.15
single,20,33,3081.04
single,20,34,0.24
single,20,35,0.12
single,20,36,0.06
single,20,37,0.23
single,20,38,0.09
single,20,39,0.05
merged,1,0,4467.67
merged,1,1,854.18
merged,1,2,875.30
merged,1,3,885.49
merged,1,4,892.87
merged,1,5,792.75
merged,1,6,908.13
merged,1,7,978.38
merged,1,8,2459.44
merged,1,9,970.93
merged,1,10,923.90
merged,1,11,964.97
merged,1,12,883.88
merged,1,13,880.10
merged,1,14,4162.39
merged,1,15,1042.74
merged,1,16,3014.92
merged,1,17,832.49
merged,1,18,791.06
merged,1,19,705.72
merged,1,20,13068.70
merged,1,21,799.51
merged,1,22,822.78
merged,1,23,715.10
merged,1,24,1626.72
merged,1,25,1201.97
merged,1,26,898.30
merged,1,27,2483.45
merged,1,28,1315.47
merged,1,29,1073.25
merged,1,30,1201.00
merged,1,31,1170.17
merged,1,32,930.35
merged,1,33,896.36
merged,1,34,1355.83
merged,1,35,2710.37
merged,1,36,1051.67
merged,1,37,1584.54
merged,1,38,3522.57
merged,1,39,1010.51
merged,4,0,3498.83
merged,4,1,0.20
merged,4,2,2280.28
merged,4,3,0.18
merged,4,4,0.04
merged,4,5,0.03
merged,4,6,1239.10
merged,4,7,0.18
merged,4,8,578.00
merged,4,9,0.08
merged,4,10,418.93
merged,4,11,0.21
merged,4,12,4508.33
merged,4,13,0.41
merged,4,14,1586.82
merged,4,15,0.18
merged,4,16,3603.47
merged,4,17,0.10
merged,4,18,0.03
merged,4,19,0.15
merged,4,20,761.41
merged,4,21,0.29
merged,4,22,0.06
merged,4,23,0.18
merged,4,24,2704.21
merged,4,25,0.18
merged,4,26,989.31
merged,4,27,0.31
merged,4,28,2183.88
merged,4,29,0.12
merged,4,30,0.03
merged,4,31,0.03
merged,4,32,866.77
merged,4,33,0.09
merged,4,34,0.10
merged,4,35,0.11
merged,4,36,1646.59
merged,4,37,0.27
merged,4,38,0.04
merged,4,39,0.03
merged,8,0,5645.21
merged,8,1,0.10
merged,8,2,0.03
merged,8,3,0.03
merged,8,4,0.33
merged,8,5,0.04
merged,8,6,0.02
merged,8,7,0.03
merged,8,8,937.36
merged,8,9,0.11
merged,8,10,0.11
merged,8,11,0.18
merged,8,12,0.03
merged,8,13,0.10
merged,8,14,1320.55
merged,8,15,0.14
merged,8,16,0.22
merged,8,17,0.07
merged,8,18,0.11
merged,8,19,0.25
merged,8,20,280.88
merged,8,21,0.30
merged,8,22,754.32
merged,8,23,0.15
merged,8,24,1409.17
