dataset,num_workers,batch_idx,wall_ms
single,1,0,12119.02
single,1,1,11140.54
single,1,2,11597.56
single,1,3,10855.46
single,1,4,12260.50
single,1,5,10575.18
single,1,6,11495.58
single,1,7,10843.96
single,1,8,9719.55
single,1,9,11304.04
single,1,10,10275.45
single,1,11,10723.32
single,1,12,19161.89
single,1,13,18279.30
single,1,14,10432.56
single,1,15,23444.65
single,1,16,9560.05
single,1,17,14343.57
single,1,18,10088.41
single,1,19,10034.75
single,1,20,14325.87
single,1,21,11199.71
single,1,22,9478.25
single,1,23,12002.44
single,1,24,19657.61
single,1,25,11188.37
single,1,26,10087.11
single,1,27,10169.12
single,1,28,10168.37
single,1,29,10908.97
single,1,30,9908.51
single,1,31,9864.96
single,1,32,10036.33
single,1,33,10611.49
single,1,34,12747.63
single,1,35,10614.77
single,1,36,9665.05
single,1,37,9837.24
single,1,38,12174.78
single,1,39,10908.72
single,4,0,12618.74
single,4,1,0.18
single,4,2,0.15
single,4,3,9799.23
single,4,4,0.09
single,4,5,0.04
single,4,6,730.28
single,4,7,9058.30
single,4,8,0.11
single,4,9,6654.08
single,4,10,0.09
single,4,11,3189.91
single,4,12,0.08
single,4,13,8256.17
single,4,14,0.16
single,4,15,3714.64
single,4,16,2512.29
single,4,17,5033.41
single,4,18,0.19
single,4,19,2666.43
single,4,20,2020.77
single,4,21,6169.44
single,4,22,0.19
single,4,23,2226.18
single,4,24,1700.38
single,4,25,6575.05
single,4,26,0.17
single,4,27,1950.29
single,4,28,2073.88
single,4,29,7463.79
single,4,30,0.24
single,4,31,851.76
single,4,32,1977.88
single,4,33,8001.22
single,4,34,0.12
single,4,35,1051.44
single,4,36,1175.09
single,4,37,8626.10
single,4,38,0.10
single,4,39,326.83
single,8,0,11152.80
single,8,1,1226.75
single,8,2,0.10
single,8,3,0.12
single,8,4,0.14
single,8,5,0.10
single,8,6,135.69
single,8,7,0.19
single,8,8,9073.86
single,8,9,1166.25
single,8,10,0.22
single,8,11,0.04
single,8,12,793.30
single,8,13,0.25
single,8,14,0.15
single,8,15,0.08
single,8,16,8501.46
single,8,17,1151.58
single,8,18,0.14
single,8,19,130.88
single,8,20,1703.59
single,8,21,0.18
single,8,22,0.04
single,8,23,0.03
single,8,24,8399.75
single,8,25,1300.49
single,8,26,0.22
single,8,27,361.22
single,8,28,2188.73
single,8,29,0.47
single,8,30,0.07
single,8,31,0.02
single,8,32,7768.99
single,8,33,1552.90
single,8,34,0.17
single,8,35,2948.22
single,8,36,0.12
single,8,37,444.43
single,8,38,0.27
single,8,39,0.12
single,12,0,13931.24
single,12,1,139.80
single,12,2,71.27
single,12,3,0.23
single,12,4,279.97
single,12,5,0.16
single,12,6,164.45
single,12,7,0.30
single,12,8,0.08
single,12,9,0.04
single,12,10,0.19
single,12,11,0.15
single,12,12,11210.74
single,12,13,0.17
single,12,14,219.98
single,12,15,0.21
single,12,16,1041.66
single,12,17,0.15
single,12,18,0.14
single,12,19,0.03
single,12,20,0.05
single,12,21,0.24
single,12,22,0.21
single,12,23,0.08
single,12,24,10577.57
single,12,25,0.23
single,12,26,1175.10
single,12,27,0.09
single,12,28,1813.25
single,12,29,0.14
single,12,30,0.04
single,12,31,0.27
single,12,32,0.08
single,12,33,0.05
single,12,34,0.33
single,12,35,0.11
single,12,36,9078.07
single,12,37,0.26
single,12,38,3422.77
single,12,39,0.09
single,20,0,14387.50
single,20,1,1057.19
single,20,2,2477.67
single,20,3,0.20
single,20,4,0.20
single,20,5,0.08
single,20,6,0.03
single,20,7,0.16
single,20,8,0.19
single,20,9,487.13
single,20,10,0.19
single,20,11,0.05
single,20,12,0.19
single,20,13,0.03
single,20,14,0.03
single,20,15,0.16
single,20,16,0.11
single,20,17,0.26
single,20,18,0.03
single,20,19,0.08
single,20,20,8201.88
single,20,21,1419.21
single,20,22,1117.97
single,20,23,0.22
single,20,24,0.08
single,20,25,131.11
single,20,26,0.25
single,20,27,279.91
single,20,28,310.85
single,20,29,1056.04
single,20,30,0.20
single,20,31,0.15
single,20,32,0.12
single,20,33,0.05
single,20,34,0.19
single,20,35,0.11
single,20,36,0.13
single,20,37,0.12
single,20,38,0.09
single,20,39,0.05
merged,1,0,1777.01
merged,1,1,1355.47
merged,1,2,3130.00
merged,1,3,1459.93
merged,1,4,1350.02
merged,1,5,1355.36
merged,1,6,1441.85
merged,1,7,1641.35
merged,1,8,1374.23
merged,1,9,1448.07
merged,1,10,1387.92
merged,1,11,1377.69
merged,1,12,3658.38
merged,1,13,1340.01
merged,1,14,1536.88
merged,1,15,1465.80
merged,1,16,1563.86
merged,1,17,1142.80
merged,1,18,1227.45
merged,1,19,1187.98
merged,1,20,1069.49
merged,1,21,985.57
merged,1,22,998.41
merged,1,23,1253.31
merged,1,24,1183.27
merged,1,25,1268.86
merged,1,26,933.87
merged,1,27,1142.79
merged,1,28,1191.22
merged,1,29,1032.06
merged,1,30,926.61
merged,1,31,907.19
merged,1,32,1129.40
merged,1,33,1059.85
merged,1,34,957.38
merged,1,35,6977.49
merged,1,36,924.91
merged,1,37,1402.83
merged,1,38,1106.02
merged,1,39,1160.96
merged,4,0,1032.63
merged,4,1,0.25
merged,4,2,0.12
merged,4,3,28.86
merged,4,4,1815.19
merged,4,5,0.22
merged,4,6,0.13
merged,4,7,0.08
merged,4,8,642.52
merged,4,9,0.19
merged,4,10,0.03
merged,4,11,0.02
merged,4,12,684.98
merged,4,13,0.10
merged,4,14,0.14
