var,chunk_file,size_bytes
dynamic/data,0.1.5.41,5425233
dynamic/data,0.6.0.10,71960
dynamic/data,0.1.17.62,352646
dynamic/data,0.1.27.37,71960
dynamic/data,0.13.6.48,7304531
dynamic/data,0.14.24.67,71960
dynamic/data,0.4.27.49,73075
dynamic/data,0.7.19.34,71960
dynamic/data,0.6.15.59,4929160
dynamic/data,0.4.27.2,71960
dynamic/data,0.4.14.6,71960
dynamic/data,0.8.22.66,71960
dynamic/data,0.5.19.70,72600
dynamic/data,0.9.19.16,71960
dynamic/data,0.8.33.52,71960
dynamic/data,0.5.20.24,8796407
dynamic/data,0.5.29.13,71960
dynamic/data,0.6.9.62,2691216
dynamic/data,0.14.28.41,71960
dynamic/data,0.12.18.12,71960
dynamic/data,0.13.23.15,71960
dynamic/data,0.7.6.4,947320
dynamic/data,0.2.14.67,71960
dynamic/data,0.4.24.9,71960
dynamic/data,0.13.33.69,74168
dynamic/data,0.10.10.38,734229
dynamic/data,0.10.17.57,8210264
dynamic/data,0.5.3.63,736465
dynamic/data,0.2.19.18,71960
dynamic/data,0.12.20.41,8880321
dynamic/data,0.0.1.57,71960
dynamic/data,0.9.9.11,7552041
dynamic/data,0.13.21.17,71960
dynamic/data,0.8.6.39,5611865
dynamic/data,0.4.16.44,5117436
dynamic/data,0.0.3.36,71960
dynamic/data,0.1.19.64,1470908
dynamic/data,0.4.20.24,8771973
dynamic/data,0.4.24.56,71960
dynamic/data,0.14.24.15,71960
dynamic/data,0.9.11.39,3420807
dynamic/data,0.10.24.23,7984043
dynamic/data,0.0.5.15,1459989
dynamic/data,0.3.12.22,71960
dynamic/data,0.9.20.54,71960
dynamic/data,0.2.16.70,72152
dynamic/data,0.10.22.31,71960
dynamic/data,0.11.21.58,2815122
dynamic/data,0.10.34.56,71960
dynamic/data,0.13.23.43,71960
dynamic/data,0.15.18.43,191355
dynamic/data,0.11.17.10,71960
dynamic/data,0.9.31.30,71960
dynamic/data,0.4.18.12,71960
dynamic/data,0.6.32.56,71960
dynamic/data,0.5.6.27,71960
dynamic/data,0.9.3.70,94747
dynamic/data,0.11.28.29,72728
dynamic/data,0.8.16.31,71960
dynamic/data,0.6.35.55,71980
dynamic/data,0.9.6.0,71960
dynamic/data,0.11.26.16,71960
dynamic/data,0.6.27.70,72564
dynamic/data,0.10.32.2,71960
dynamic/data,0.3.20.30,71960
dynamic/data,0.14.31.51,71960
dynamic/data,0.11.26.10,71960
dynamic/data,0.13.1.6,71960
dynamic/data,0.13.5.3,1026352
dynamic/data,0.9.32.43,71960
dynamic/data,0.4.24.49,71960
dynamic/data,0.2.24.63,8035857
dynamic/data,0.10.4.68,1411057
dynamic/data,0.2.31.2,71960
dynamic/data,0.4.14.56,3008749
dynamic/data,0.15.2.37,527738
dynamic/data,0.15.4.39,5750958
dynamic/data,0.15.7.51,8346928
dynamic/data,0.6.11.4,71960
dynamic/data,0.9.25.68,1538235
dynamic/data,0.7.10.60,3513670
dynamic/data,0.14.4.9,926637
dynamic/data,0.9.4.28,271997
dynamic/data,0.6.32.25,78906
dynamic/data,0.11.17.49,98991
dynamic/data,0.10.10.23,71960
dynamic/data,0.7.35.66,71980
dynamic/data,0.2.20.68,127241
dynamic/data,0.10.26.10,71960
dynamic/data,0.2.17.33,71960
dynamic/data,0.3.32.18,76948
dynamic/data,0.1.1.70,72152
dynamic/data,0.12.16.54,4177796
dynamic/data,0.10.35.26,71980
dynamic/data,0.8.6.2,86283
dynamic/data,0.2.20.7,74109
dynamic/data,0.3.24.63,8005490
dynamic/data,0.14.32.36,71960
dynamic/data,0.10.20.45,75411
dynamic/data,0.15.14.69,71960
dynamic/data,0.5.5.63,1827409
dynamic/data,0.11.32.1,71960
dynamic/data,0.10.12.24,71960
dynamic/data,0.7.25.50,72042
dynamic/data,0.8.6.24,72119
dynamic/data,0.4.3.50,630451
dynamic/data,0.14.29.17,71960
dynamic/data,0.14.25.22,4873512
dynamic/data,0.12.9.59,7857323
dynamic/data,0.10.8.12,7602850
dynamic/data,0.6.0.64,71960
dynamic/data,0.1.15.41,9146094
dynamic/data,0.1.10.27,71960
dynamic/data,0.5.26.46,71960
dynamic/data,0.11.4.18,861361
dynamic/data,0.14.26.25,71960
dynamic/data,0.4.4.53,1455394
dynamic/data,0.6.1.44,127779
dynamic/data,0.15.3.16,761980
dynamic/data,0.5.17.35,71960
dynamic/data,0.12.30.69,71960
dynamic/data,0.11.21.18,71960
dynamic/data,0.1.10.29,86898
dynamic/data,0.9.1.51,71960
dynamic/data,0.5.33.54,71960
dynamic/data,0.8.23.11,71960
dynamic/data,0.2.19.60,561728
dynamic/data,0.6.2.24,82617
dynamic/data,0.1.6.58,4071575
dynamic/data,0.4.13.5,71960
dynamic/data,0.12.20.36,71960
dynamic/data,0.10.6.6,71960
dynamic/data,0.11.17.41,7305008
dynamic/data,0.3.28.45,71960
dynamic/data,0.5.33.61,71960
dynamic/data,0.12.2.7,71960
dynamic/data,0.6.19.44,140138
dynamic/data,0.7.27.22,156291
dynamic/data,0.11.32.28,81022
dynamic/data,0.8.12.69,71960
dynamic/data,0.4.23.8,71960
dynamic/data,0.15.4.65,1201861
dynamic/data,0.2.10.48,7739455
dynamic/data,0.8.6.38,3417763
dynamic/data,0.4.0.44,71960
dynamic/data,0.13.22.67,73287
dynamic/data,0.0.25.18,71960
dynamic/data,0.6.17.0,72032
dynamic/data,0.15.0.18,71960
dynamic/data,0.11.34.61,71960
dynamic/data,0.13.24.13,71960
dynamic/data,0.11.1.37,96896
dynamic/data,0.13.0.1,71960
dynamic/data,0.12.11.8,71960
dynamic/data,0.10.7.9,1151315
dynamic/data,0.12.28.42,71960
dynamic/data,0.6.8.51,6946684
dynamic/data,0.4.1.47,84579
dynamic/data,0.6.30.25,71960
dynamic/data,0.14.23.41,2104061
dynamic/data,0.11.33.17,71960
dynamic/data,0.10.19.57,1713036
dynamic/data,0.6.30.42,71960
dynamic/data,0.10.14.57,72208
dynamic/data,0.13.25.47,71960
dynamic/data,0.11.3.14,674666
dynamic/data,0.1.35.23,71980
dynamic/data,0.6.9.31,71960
dynamic/data,0.12.35.43,71980
dynamic/data,0.5.4.66,1655241
dynamic/data,0.9.29.2,71960
dynamic/data,0.0.31.40,78794
dynamic/data,0.2.4.40,5820782
dynamic/data,0.8.24.40,894937
dynamic/data,0.10.18.17,71960
dynamic/data,0.13.24.9,71960
dynamic/data,0.1.29.14,71960
dynamic/data,0.10.4.44,1042062
dynamic/data,0.13.27.36,71960
dynamic/data,0.14.12.1,72042
dynamic/data,0.11.8.7,71960
dynamic/data,0.2.28.45,71960
dynamic/data,0.15.30.62,76406
dynamic/data,0.0.23.67,72145
dynamic/data,0.1.8.52,6803847
dynamic/data,0.13.7.19,3414053
dynamic/data,0.6.13.50,8850650
dynamic/data,0.8.26.23,71960
dynamic/data,0.15.8.31,71960
dynamic/data,0.6.20.45,76053
dynamic/data,0.14.5.2,317364
dynamic/data,0.11.0.6,71960
dynamic/data,0.15.10.1,71960
dynamic/data,0.5.33.33,71960
dynamic/data,0.1.30.3,71960
dynamic/data,0.7.15.25,71960
dynamic/data,0.14.18.55,5100114
dynamic/data,0.6.10.11,5124171
dynamic/data,0.11.17.1,71960
dynamic/data,0.1.25.68,1541098
dynamic/data,0.7.23.63,7589323
dynamic/data,0.12.7.11,7915281
dynamic/data,0.12.14.17,8428188
dynamic/data,0.1.2.4,71960
dynamic/data,0.8.23.64,8486187
dynamic/data,0.15.13.37,503832
dynamic/data,0.1.6.15,5379439
dynamic/data,0.13.29.67,71960
dynamic/data,0.13.11.4,71960
dynamic/data,0.1.34.21,71960
dynamic/data,0.7.22.3,71960
dynamic/data,0.8.6.23,1762669
dynamic/data,0.0.17.57,8267926
dynamic/data,0.5.20.51,71960
dynamic/data,0.6.26.47,71960
dynamic/data,0.15.29.60,71960
dynamic/data,0.10.25.41,71960
dynamic/data,0.9.6.44,8888786
dynamic/data,0.10.29.14,71960
dynamic/data,0.14.12.62,82698
dynamic/data,0.1.31.13,71960
dynamic/data,0.8.2.29,80050
dynamic/data,0.5.32.20,84546
dynamic/data,0.0.8.13,7050525
dynamic/data,0.6.22.63,7349821
dynamic/data,0.2.6.49,6990400
dynamic/data,0.2.12.25,71960
dynamic/data,0.11.35.57,71980
dynamic/data,0.6.34.60,71960
dynamic/data,0.12.31.36,78530
dynamic/data,0.12.11.5,71960
dynamic/data,0.11.3.61,670601
dynamic/data,0.5.6.66,1959266
dynamic/data,0.14.7.63,1615598
dynamic/data,0.8.27.70,72564
dynamic/data,0.11.19.56,1217720
dynamic/data,0.6.3.58,548917
dynamic/data,0.5.17.59,1492862
dynamic/data,0.14.25.13,71960
dynamic/data,0.4.12.4,71960
dynamic/data,0.6.21.50,71960
dynamic/data,0.12.18.17,71960
dynamic/data,0.7.27.14,71960
dynamic/data,0.10.20.0,134012
dynamic/data,0.6.4.38,6857753
dynamic/data,0.0.11.10,71960
dynamic/data,0.13.23.65,997844
dynamic/data,0.4.8.22,5491986
dynamic/data,0.4.32.49,71960
dynamic/data,0.6.5.18,242326
dynamic/data,0.1.31.15,86566
dynamic/data,0.15.29.51,71960
dynamic/data,0.6.0.33,71960
dynamic/data,0.4.22.7,71960
dynamic/data,0.13.34.26,71960
dynamic/data,0.8.28.17,71960
dynamic/data,0.5.31.15,86566
dynamic/data,0.3.31.40,78794
dynamic/data,0.6.32.57,71960
dynamic/data,0.6.32.35,71960
dynamic/data,0.6.1.13,71960
dynamic/data,0.3.28.40,71960
dynamic/data,0.10.28.68,71960
dynamic/data,0.4.9.25,71960
dynamic/data,0.12.4.1,967309
dynamic/data,0.8.19.44,139955
dynamic/data,0.2.27.25,71960
dynamic/data,0.6.31.45,71960
dynamic/data,0.13.30.41,72232
dynamic/data,0.7.14.33,6060312
dynamic/data,0.12.8.11,8325029
dynamic/data,0.8.34.13,71960
dynamic/data,0.8.2.1,71960
dynamic/data,0.8.19.51,71960
dynamic/data,0.3.27.20,3210303
dynamic/data,0.2.18.36,71960
dynamic/data,0.1.17.0,72032
dynamic/data,0.5.16.34,5622052
dynamic/data,0.15.1.26,501915
dynamic/data,0.8.2.14,356264
dynamic/data,0.4.27.16,71960
dynamic/data,0.9.0.31,71960
dynamic/data,0.6.23.17,71960
dynamic/data,0.2.25.27,71960
dynamic/data,0.12.24.11,71960
dynamic/data,0.14.11.18,6204387
dynamic/data,0.1.29.19,71960
dynamic/data,0.12.24.64,4742069
dynamic/data,0.2.12.5,71960
dynamic/data,0.4.20.64,71998
dynamic/data,0.14.27.58,71960
dynamic/data,0.1.2.44,71960
dynamic/data,0.1.18.37,5918524
