[2026-06-15 19:48:57,232][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-15 19:48:57,234][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-15 19:48:57,698][root][INFO] - Train: 4480000 samples, Val: 640000 samples
[2026-06-15 19:48:59,183][root][INFO] - Starting training from epoch 1
[2026-06-15 19:49:15,813][root][INFO] - Epoch [1/5], Batch [1/300], Loss: 2.1904 (Overall: 2.2839, Change: 2.0970), TF Ratio: 1.000
[2026-06-15 19:49:16,018][root][INFO] - Epoch [1/5], Batch [2/300], Loss: 2.2658 (Overall: 2.3784, Change: 2.3041), TF Ratio: 1.000
[2026-06-15 19:49:16,183][root][INFO] - Epoch [1/5], Batch [3/300], Loss: 2.2118 (Overall: 2.2879, Change: 1.9197), TF Ratio: 0.999
[2026-06-15 19:49:16,428][root][INFO] - Epoch [1/5], Batch [4/300], Loss: 2.1862 (Overall: 2.2517, Change: 1.9667), TF Ratio: 0.999
[2026-06-15 19:49:16,639][root][INFO] - Epoch [1/5], Batch [5/300], Loss: 2.1338 (Overall: 1.8211, Change: 2.0278), TF Ratio: 0.999
[2026-06-15 19:49:16,814][root][INFO] - Epoch [1/5], Batch [6/300], Loss: 2.1172 (Overall: 1.9552, Change: 2.1133), TF Ratio: 0.999
[2026-06-15 19:49:16,997][root][INFO] - Epoch [1/5], Batch [7/300], Loss: 2.0723 (Overall: 1.7653, Change: 1.8402), TF Ratio: 0.999
[2026-06-15 19:49:17,173][root][INFO] - Epoch [1/5], Batch [8/300], Loss: 2.0242 (Overall: 1.8015, Change: 1.5742), TF Ratio: 0.998
[2026-06-15 19:49:17,334][root][INFO] - Epoch [1/5], Batch [9/300], Loss: 1.9955 (Overall: 1.7431, Change: 1.7874), TF Ratio: 0.998
[2026-06-15 19:49:17,498][root][INFO] - Epoch [1/5], Batch [10/300], Loss: 1.9859 (Overall: 1.9244, Change: 1.8752), TF Ratio: 0.998
[2026-06-15 19:49:17,702][root][INFO] - Epoch [1/5], Batch [11/300], Loss: 1.9694 (Overall: 1.7448, Change: 1.8632), TF Ratio: 0.998
[2026-06-15 19:49:17,971][root][INFO] - Epoch [1/5], Batch [12/300], Loss: 1.9575 (Overall: 1.7935, Change: 1.8613), TF Ratio: 0.998
[2026-06-15 19:49:18,150][root][INFO] - Epoch [1/5], Batch [13/300], Loss: 1.9328 (Overall: 1.6435, Change: 1.6293), TF Ratio: 0.997
[2026-06-15 19:49:18,318][root][INFO] - Epoch [1/5], Batch [14/300], Loss: 1.9253 (Overall: 1.6089, Change: 2.0458), TF Ratio: 0.997
[2026-06-15 19:49:18,521][root][INFO] - Epoch [1/5], Batch [15/300], Loss: 1.9070 (Overall: 1.5526, Change: 1.7503), TF Ratio: 0.997
[2026-06-15 19:49:18,723][root][INFO] - Epoch [1/5], Batch [16/300], Loss: 1.9002 (Overall: 1.6403, Change: 1.9547), TF Ratio: 0.997
[2026-06-15 19:49:18,885][root][INFO] - Epoch [1/5], Batch [17/300], Loss: 1.8883 (Overall: 1.5973, Change: 1.8002), TF Ratio: 0.997
[2026-06-15 19:49:19,038][root][INFO] - Epoch [1/5], Batch [18/300], Loss: 1.8793 (Overall: 1.6389, Change: 1.8135), TF Ratio: 0.996
[2026-06-15 19:49:19,192][root][INFO] - Epoch [1/5], Batch [19/300], Loss: 1.8663 (Overall: 1.5046, Change: 1.7590), TF Ratio: 0.996
[2026-06-15 19:49:19,357][root][INFO] - Epoch [1/5], Batch [20/300], Loss: 1.8591 (Overall: 1.5329, Change: 1.9097), TF Ratio: 0.996
[2026-06-15 19:49:19,524][root][INFO] - Epoch [1/5], Batch [21/300], Loss: 1.8547 (Overall: 1.6821, Change: 1.8517), TF Ratio: 0.996
[2026-06-15 19:49:19,679][root][INFO] - Epoch [1/5], Batch [22/300], Loss: 1.8587 (Overall: 1.6526, Change: 2.2330), TF Ratio: 0.996
[2026-06-15 19:49:19,852][root][INFO] - Epoch [1/5], Batch [23/300], Loss: 1.8440 (Overall: 1.4696, Change: 1.5720), TF Ratio: 0.995
[2026-06-15 19:49:20,015][root][INFO] - Epoch [1/5], Batch [24/300], Loss: 1.8364 (Overall: 1.4630, Change: 1.8625), TF Ratio: 0.995
[2026-06-15 19:49:20,170][root][INFO] - Epoch [1/5], Batch [25/300], Loss: 1.8345 (Overall: 1.6351, Change: 1.9421), TF Ratio: 0.995
[2026-06-15 19:49:20,337][root][INFO] - Epoch [1/5], Batch [26/300], Loss: 1.8158 (Overall: 1.4196, Change: 1.2769), TF Ratio: 0.995
[2026-06-15 19:49:20,492][root][INFO] - Epoch [1/5], Batch [27/300], Loss: 1.8058 (Overall: 1.5344, Change: 1.5564), TF Ratio: 0.995
[2026-06-15 19:49:20,648][root][INFO] - Epoch [1/5], Batch [28/300], Loss: 1.7997 (Overall: 1.3480, Change: 1.9192), TF Ratio: 0.994
[2026-06-15 19:49:20,804][root][INFO] - Epoch [1/5], Batch [29/300], Loss: 1.7939 (Overall: 1.3669, Change: 1.9008), TF Ratio: 0.994
[2026-06-15 19:49:20,967][root][INFO] - Epoch [1/5], Batch [30/300], Loss: 1.7831 (Overall: 1.4447, Change: 1.4948), TF Ratio: 0.994
