store,worker,sample,wall_ms
A,2,77,257.27
A,2,78,363.20
A,2,79,342.45
A,2,80,160.79
A,2,81,256.48
A,2,82,268.90
A,2,83,308.61
A,2,84,257.24
A,2,85,222.78
A,2,86,312.28
A,2,87,236.85
A,2,88,359.58
A,2,89,193.62
A,2,90,198.89
A,2,91,204.06
A,2,92,298.10
A,2,93,278.30
A,2,94,222.20
A,2,95,301.73
A,2,96,240.79
A,2,97,331.64
A,2,98,173.39
A,2,99,290.27
A,3,0,353.39
A,3,1,397.42
A,3,2,388.54
A,3,3,391.87
A,3,4,401.05
A,3,5,446.84
A,3,6,430.29
A,3,7,409.38
A,3,8,431.03
A,3,9,424.52
A,3,10,422.67
A,3,11,268.75
A,3,12,382.72
A,3,13,308.08
A,3,14,376.05
A,3,15,498.30
A,3,16,318.93
A,3,17,592.45
A,3,18,392.58
A,3,19,430.68
A,3,20,350.36
A,3,21,322.58
A,3,22,383.13
A,3,23,364.59
A,3,24,403.00
A,3,25,395.84
A,3,26,327.20
A,3,27,251.89
A,3,28,318.45
A,3,29,336.87
A,3,30,279.77
A,3,31,403.91
A,3,32,328.87
A,3,33,456.86
A,3,34,1639.72
A,3,35,514.47
A,3,36,313.90
A,3,37,299.89
A,3,38,265.33
A,3,39,301.53
A,3,40,318.40
A,3,41,390.00
A,3,42,2163.91
A,3,43,247.43
A,3,44,349.66
A,3,45,244.43
A,3,46,1610.62
A,3,47,373.66
A,3,48,264.17
A,3,49,254.82
A,3,50,221.89
A,3,51,314.83
A,3,52,353.90
A,3,53,217.68
A,3,54,256.47
A,3,55,267.32
A,3,56,227.14
A,3,57,361.33
A,3,58,337.61
A,3,59,425.73
A,3,60,353.79
A,3,61,256.78
A,3,62,213.23
A,3,63,218.91
A,3,64,246.90
A,3,65,277.22
A,3,66,280.96
A,3,67,295.98
A,3,68,286.79
A,3,69,232.75
A,3,70,150.72
A,3,71,274.38
A,3,72,347.76
A,3,73,244.54
A,3,74,254.79
A,3,75,340.71
A,3,76,210.71
A,3,77,209.90
A,3,78,212.66
A,3,79,297.33
A,3,80,302.89
A,3,81,323.78
A,3,82,240.43
A,3,83,151.40
A,3,84,187.16
A,3,85,202.17
A,3,86,233.13
A,3,87,323.28
A,3,88,162.50
A,3,89,225.78
A,3,90,329.78
A,3,91,268.73
A,3,92,349.55
A,3,93,296.87
A,3,94,285.21
A,3,95,293.13
A,3,96,330.89
A,3,97,200.85
A,3,98,258.24
A,3,99,306.41
A,4,0,450.17
A,4,1,536.85
A,4,2,387.96
A,4,3,374.44
A,4,4,493.68
A,4,5,339.32
A,4,6,452.54
A,4,7,363.64
A,4,8,345.04
A,4,9,366.54
A,4,10,438.11
A,4,11,463.61
A,4,12,314.57
A,4,13,348.49
A,4,14,1640.69
A,4,15,238.07
A,4,16,367.27
A,4,17,223.80
A,4,18,547.50
A,4,19,377.47
A,4,20,389.52
A,4,21,314.23
A,4,22,454.70
A,4,23,373.13
A,4,24,390.99
A,4,25,416.25
A,4,26,356.31
A,4,27,386.41
A,4,28,223.65
A,4,29,343.67
A,4,30,278.98
A,4,31,355.04
A,4,32,351.02
A,4,33,886.12
A,4,34,174.15
A,4,35,442.77
A,4,36,3795.72
A,4,37,329.37
A,4,38,325.80
A,4,39,340.95
A,4,40,277.19
A,4,41,405.29
A,4,42,349.84
A,4,43,223.27
A,4,44,365.44
A,4,45,321.51
A,4,46,269.21
A,4,47,379.78
A,4,48,399.62
A,4,49,223.93
A,4,50,129.86
A,4,51,288.07
A,4,52,332.26
A,4,53,254.84
A,4,54,236.36
A,4,55,380.81
A,4,56,266.43
A,4,57,272.26
A,4,58,266.64
A,4,59,263.11
A,4,60,369.13
A,4,61,240.12
A,4,62,440.44
A,4,63,298.57
A,4,64,424.84
A,4,65,391.82
A,4,66,335.08
A,4,67,168.27
A,4,68,243.52
A,4,69,346.46
A,4,70,292.22
A,4,71,192.79
A,4,72,230.71
A,4,73,259.16
A,4,74,284.56
A,4,75,275.11
A,4,76,373.77
A,4,77,302.71
A,4,78,363.81
A,4,79,265.65
A,4,80,256.35
A,4,81,279.82
A,4,82,316.52
A,4,83,349.91
A,4,84,398.54
A,4,85,184.78
A,4,86,179.66
A,4,87,284.80
A,4,88,366.39
A,4,89,287.98
A,4,90,296.03
A,4,91,310.36
A,4,92,308.78
A,4,93,393.15
A,4,94,389.93
A,4,95,248.35
A,4,96,263.86
A,4,97,173.49
A,4,98,356.47
A,4,99,181.86
A,5,0,418.48
A,5,1,469.33
A,5,2,318.21
A,5,3,343.06
A,5,4,307.02
A,5,5,395.71
A,5,6,199.44
A,5,7,366.85
A,5,8,328.29
A,5,9,367.01
A,5,10,404.01
A,5,11,347.24
A,5,12,340.86
A,5,13,324.00
A,5,14,412.76
A,5,15,298.64
A,5,16,439.54
A,5,17,510.87
A,5,18,366.60
A,5,19,360.38
A,5,20,509.55
A,5,21,330.28
A,5,22,286.95
A,5,23,326.72
A,5,24,313.11
A,5,25,434.62
A,5,26,309.04
A,5,27,309.01
A,5,28,252.86
A,5,29,376.50
A,5,30,317.81
A,5,31,372.94
A,5,32,267.12
A,5,33,356.09
A,5,34,319.91
A,5,35,399.73
A,5,36,268.64
A,5,37,1640.77
A,5,38,340.81
A,5,39,314.47
A,5,40,262.44
A,5,41,3444.58
A,5,42,346.94
A,5,43,355.32
A,5,44,356.56
A,5,45,315.12
A,5,46,379.34
A,5,47,242.61
A,5,48,450.70
A,5,49,343.37
A,5,50,277.51
A,5,51,315.49
A,5,52,180.50
A,5,53,266.49
A,5,54,304.95
A,5,55,291.85
A,5,56,309.16
A,5,57,278.79
A,5,58,377.87
A,5,59,375.96
A,5,60,348.98
A,5,61,348.63
A,5,62,228.84
A,5,63,345.55
A,5,64,277.18
A,5,65,273.28
A,5,66,2047.16
A,5,67,206.02
A,5,68,313.93
A,5,69,343.74
A,5,70,289.34
A,5,71,173.91
A,5,72,297.62
A,5,73,225.86
A,5,74,377.33
A,5,75,294.51
A,5,76,266.30
A,5,77,307.15
A,5,78,350.02
A,5,79,188.34
A,5,80,131.14
A,5,81,246.23
A,5,82,233.41
A,5,83,263.17
A,5,84,303.53
A,5,85,288.21
A,5,86,267.65
A,5,87,211.66
A,5,88,327.37
A,5,89,217.03
A,5,90,209.90
A,5,91,2150.27
A,5,92,356.13
A,5,93,322.06
A,5,94,360.25
A,5,95,307.99
A,5,96,260.84
A,5,97,215.65
A,5,98,220.64
A,5,99,272.97
A,6,0,463.56
A,6,1,458.22
A,6,2,510.47
A,6,3,449.72
A,6,4,433.18
A,6,5,477.60
A,6,6,435.02
A,6,7,503.00
A,6,8,321.20
A,6,9,484.71
A,6,10,601.58
A,6,11,343.71
A,6,12,426.69
A,6,13,406.62
A,6,14,873.87
A,6,15,368.47
A,6,16,303.23
A,6,17,418.41
A,6,18,315.70
A,6,19,358.55
A,6,20,427.89
A,6,21,272.56
A,6,22,553.34
A,6,23,289.37
A,6,24,224.07
A,6,25,315.25
A,6,26,492.45
A,6,27,320.91
A,6,28,294.20
