phase,dataset,num_workers,idx,wall_ms
phase1,single,-1,0,4100.97
phase1,single,-1,1,1253.17
phase1,single,-1,2,1345.96
phase1,single,-1,3,1798.22
phase1,single,-1,4,1569.81
phase1,single,-1,5,1282.29
phase1,single,-1,6,1233.46
phase1,single,-1,7,1833.64
phase1,single,-1,8,1342.97
phase1,single,-1,9,1215.87
phase1,single,-1,10,1251.23
phase1,single,-1,11,1349.68
phase1,single,-1,12,1335.14
phase1,single,-1,13,1247.48
phase1,single,-1,14,1275.97
phase1,single,-1,15,1334.09
phase1,single,-1,16,1281.72
phase1,single,-1,17,1253.78
phase1,single,-1,18,1841.31
phase1,single,-1,19,1133.05
phase1,single,-1,20,1264.31
phase1,single,-1,21,1277.31
phase1,single,-1,22,1337.39
phase1,single,-1,23,1332.93
phase1,single,-1,24,1189.73
phase1,single,-1,25,1324.15
phase1,single,-1,26,1308.60
phase1,single,-1,27,1182.79
phase1,single,-1,28,1262.50
phase1,single,-1,29,1217.62
phase1,single,-1,30,1439.44
phase1,single,-1,31,1389.80
phase1,single,-1,32,1280.31
phase1,single,-1,33,1257.99
phase1,single,-1,34,1518.20
phase1,single,-1,35,1048.84
phase1,single,-1,36,1418.53
phase1,single,-1,37,1409.37
phase1,single,-1,38,1339.43
phase1,single,-1,39,1248.49
phase1,single,-1,40,1265.41
phase1,single,-1,41,1313.79
phase1,single,-1,42,1357.33
phase1,single,-1,43,1355.77
phase1,single,-1,44,1277.95
phase1,single,-1,45,1302.82
phase1,single,-1,46,1291.92
phase1,single,-1,47,1211.33
phase1,single,-1,48,1252.48
phase1,single,-1,49,1291.93
phase1,merged,-1,0,230.89
phase1,merged,-1,1,221.86
phase1,merged,-1,2,203.41
phase1,merged,-1,3,324.82
phase1,merged,-1,4,127.30
phase1,merged,-1,5,231.26
phase1,merged,-1,6,111.07
phase1,merged,-1,7,176.83
phase1,merged,-1,8,148.69
phase1,merged,-1,9,143.46
phase1,merged,-1,10,154.14
phase1,merged,-1,11,255.66
phase1,merged,-1,12,296.82
phase1,merged,-1,13,128.56
phase1,merged,-1,14,112.79
phase1,merged,-1,15,274.56
phase1,merged,-1,16,202.37
phase1,merged,-1,17,159.06
phase1,merged,-1,18,285.91
phase1,merged,-1,19,108.71
phase1,merged,-1,20,117.66
phase1,merged,-1,21,297.79
phase1,merged,-1,22,271.16
phase1,merged,-1,23,311.32
phase1,merged,-1,24,159.63
phase1,merged,-1,25,317.20
phase1,merged,-1,26,285.01
phase1,merged,-1,27,127.26
phase1,merged,-1,28,147.69
phase1,merged,-1,29,107.37
phase1,merged,-1,30,293.54
phase1,merged,-1,31,183.90
phase1,merged,-1,32,165.75
phase1,merged,-1,33,265.43
phase1,merged,-1,34,118.29
phase1,merged,-1,35,60.39
phase1,merged,-1,36,123.18
phase1,merged,-1,37,309.94
phase1,merged,-1,38,247.51
phase1,merged,-1,39,156.72
phase1,merged,-1,40,108.92
phase1,merged,-1,41,213.41
phase1,merged,-1,42,126.75
phase1,merged,-1,43,102.15
phase1,merged,-1,44,180.83
phase1,merged,-1,45,232.67
phase1,merged,-1,46,172.91
phase1,merged,-1,47,241.04
phase1,merged,-1,48,105.52
phase1,merged,-1,49,226.76
phase2,single,0,0,11489.20
phase2,single,0,1,11297.31
