dataset,num_workers,batch_idx,wall_ms
single,1,0,12468.62
single,1,1,10009.51
single,1,2,10787.42
single,1,3,15022.17
single,1,4,10550.00
single,1,5,14273.26
single,1,6,14571.07
single,1,7,13056.73
single,1,8,10491.59
single,1,9,10207.44
single,1,10,15438.12
single,1,11,11994.43
single,1,12,22817.39
single,1,13,9920.05
single,1,14,15376.07
single,1,15,10743.87
single,1,16,11182.88
single,1,17,10561.76
single,1,18,22628.72
single,1,19,10085.07
single,1,20,9701.85
single,1,21,30156.07
single,1,22,9779.37
single,1,23,15046.47
single,1,24,9767.50
single,1,25,10206.35
single,1,26,26217.22
single,1,27,11705.03
single,1,28,11156.56
single,1,29,10917.61
single,1,30,11031.58
single,1,31,12588.11
single,1,32,10892.49
single,1,33,10452.30
single,1,34,10963.62
single,1,35,12357.53
single,1,36,11006.96
single,1,37,14145.54
single,1,38,12327.76
single,1,39,24524.66
single,4,0,19829.34
single,4,1,0.16
single,4,2,14773.28
single,4,3,0.10
single,4,4,0.03
single,4,5,0.02
single,4,6,10242.31
single,4,7,0.10
single,4,8,0.03
single,4,9,0.12
single,4,10,9684.04
single,4,11,0.23
single,4,12,0.04
single,4,13,0.15
single,4,14,10423.57
single,4,15,0.17
single,4,16,18099.81
single,4,17,0.09
single,4,18,0.03
single,4,19,6571.10
single,4,20,4811.55
single,4,21,0.08
single,4,22,0.03
single,4,23,4337.89
single,4,24,4565.25
single,4,25,0.15
single,4,26,6291.45
single,4,27,0.12
single,4,28,4321.04
single,4,29,0.13
single,4,30,22457.26
single,4,31,0.14
single,4,32,0.13
single,4,33,0.10
single,4,34,28142.31
single,4,35,0.26
single,4,36,0.57
single,4,37,0.45
single,4,38,25346.27
single,4,39,0.13
single,8,0,11563.69
single,8,1,905.19
single,8,2,0.22
single,8,3,1012.63
single,8,4,11083.45
single,8,5,0.18
single,8,6,0.11
single,8,7,0.08
single,8,8,0.27
single,8,9,0.21
single,8,10,0.13
single,8,11,596.61
single,8,12,11551.88
single,8,13,0.17
single,8,14,0.11
single,8,15,0.03
single,8,16,32822.32
single,8,17,0.24
single,8,18,0.04
single,8,19,13068.34
single,8,20,0.23
single,8,21,0.05
single,8,22,0.14
single,8,23,0.21
single,8,24,0.18
single,8,25,0.09
single,8,26,0.03
single,8,27,13448.83
single,8,28,0.19
single,8,29,0.12
single,8,30,0.11
single,8,31,0.03
single,8,32,0.03
single,8,33,0.25
single,8,34,0.03
single,8,35,13337.54
single,8,36,0.13
single,8,37,0.43
single,8,38,0.10
single,8,39,0.11
single,12,0,16528.56
single,12,1,0.16
single,12,2,0.09
single,12,3,2647.58
single,12,4,0.17
single,12,5,0.12
single,12,6,0.12
single,12,7,0.03
single,12,8,0.25
single,12,9,0.03
single,12,10,0.18
single,12,11,1621.29
single,12,12,10481.35
single,12,13,0.18
single,12,14,4332.84
single,12,15,0.27
single,12,16,4962.57
single,12,17,0.27
single,12,18,0.06
single,12,19,0.22
single,12,20,0.06
single,12,21,0.04
single,12,22,0.10
single,12,23,0.06
single,12,24,3367.48
single,12,25,0.12
single,12,26,16466.74
single,12,27,0.33
single,12,28,0.22
single,12,29,0.16
single,12,30,0.21
single,12,31,0.09
single,12,32,0.06
single,12,33,0.04
single,12,34,0.53
single,12,35,0.07
single,12,36,7064.97
single,12,37,0.38
single,12,38,14217.40
single,12,39,0.10
single,20,0,12094.82
single,20,1,1370.08
single,20,2,0.24
single,20,3,409.76
single,20,4,10887.03
single,20,5,0.25
single,20,6,0.04
single,20,7,0.03
single,20,8,0.21
single,20,9,0.07
single,20,10,0.03
single,20,11,0.14
single,20,12,0.08
single,20,13,0.05
single,20,14,0.11
single,20,15,0.03
single,20,16,0.17
single,20,17,0.03
single,20,18,0.12
single,20,19,0.10
single,20,20,287.41
single,20,21,19099.94
single,20,22,0.17
single,20,23,0.05
single,20,24,0.03
single,20,25,0.03
single,20,26,0.11
single,20,27,0.21
single,20,28,0.05
single,20,29,0.22
single,20,30,0.16
single,20,31,0.08
single,20,32,0.20
single,20,33,0.06
single,20,34,0.08
single,20,35,0.06
single,20,36,0.05
single,20,37,0.06
single,20,38,0.03
single,20,39,0.06
merged,1,0,2527.81
merged,1,1,19548.74
merged,1,2,1024.18
merged,1,3,9053.50
merged,1,4,715.91
merged,1,5,735.68
merged,1,6,713.29
merged,1,7,876.02
merged,1,8,837.59
merged,1,9,947.90
merged,1,10,1053.88
merged,1,11,982.45
merged,1,12,986.82
merged,1,13,895.64
merged,1,14,1213.39
merged,1,15,1199.21
merged,1,16,828.34
merged,1,17,787.04
merged,1,18,2297.29
merged,1,19,1001.82
merged,1,20,964.80
merged,1,21,2750.48
merged,1,22,699.83
merged,1,23,860.07
merged,1,24,1095.65
merged,1,25,949.75
merged,1,26,2769.16
merged,1,27,1153.64
merged,1,28,1136.82
merged,1,29,859.35
merged,1,30,825.65
merged,1,31,866.40
