dataset,num_workers,batch_idx,wall_ms
merged,4,20,0.13
merged,4,21,804.41
merged,4,22,0.38
merged,4,23,0.15
merged,4,24,0.04
merged,4,25,782.38
merged,4,26,0.25
merged,4,27,0.16
merged,4,28,0.05
merged,4,29,762.30
merged,4,30,0.20
merged,4,31,0.05
merged,4,32,0.04
merged,4,33,701.30
merged,4,34,0.21
merged,4,35,0.04
merged,4,36,0.03
merged,4,37,739.05
merged,4,38,0.20
merged,4,39,0.11
merged,8,0,1204.08
merged,8,1,146.89
merged,8,2,0.25
merged,8,3,0.04
merged,8,4,0.88
merged,8,5,0.04
merged,8,6,0.13
merged,8,7,0.12
merged,8,8,11907.56
merged,8,9,0.12
merged,8,10,0.03
merged,8,11,0.03
merged,8,12,2264.39
merged,8,13,0.11
merged,8,14,0.13
merged,8,15,0.14
merged,8,16,154.37
merged,8,17,0.10
merged,8,18,0.03
merged,8,19,0.03
merged,8,20,613.80
merged,8,21,0.09
merged,8,22,0.12
merged,8,23,0.17
merged,8,24,132.22
merged,8,25,0.13
merged,8,26,0.25
merged,8,27,0.32
merged,8,28,579.56
merged,8,29,0.12
merged,8,30,0.22
merged,8,31,0.14
merged,8,32,62.57
merged,8,33,0.10
merged,8,34,0.03
merged,8,35,0.28
merged,8,36,653.26
merged,8,37,0.09
merged,8,38,0.22
merged,8,39,0.04
merged,12,0,1127.27
merged,12,1,400.57
merged,12,2,0.27
merged,12,3,118.28
merged,12,4,0.30
merged,12,5,0.21
merged,12,6,0.20
merged,12,7,0.04
merged,12,8,0.27
merged,12,9,0.21
merged,12,10,0.04
merged,12,11,0.19
merged,12,12,465.31
merged,12,13,0.27
merged,12,14,101.29
merged,12,15,165.84
merged,12,16,66.38
merged,12,17,0.31
merged,12,18,0.15
merged,12,19,38.11
merged,12,20,0.11
merged,12,21,0.13
merged,12,22,2181.58
merged,12,23,0.17
merged,12,24,0.21
merged,12,25,0.13
merged,12,26,0.16
merged,12,27,0.08
merged,12,28,0.24
merged,12,29,0.34
merged,12,30,0.14
merged,12,31,0.11
merged,12,32,0.14
merged,12,33,0.11
merged,12,34,846.62
merged,12,35,0.30
merged,12,36,0.15
merged,12,37,0.23
merged,12,38,0.21
merged,12,39,0.12
merged,20,0,1904.74
merged,20,1,12262.18
merged,20,2,0.18
merged,20,3,0.24
merged,20,4,0.16
merged,20,5,0.14
merged,20,6,0.04
merged,20,7,0.27
merged,20,8,0.08
merged,20,9,0.17
merged,20,10,0.08
merged,20,11,0.23
merged,20,12,0.14
merged,20,13,0.12
merged,20,14,0.11
merged,20,15,0.05
merged,20,16,0.14
merged,20,17,0.58
merged,20,18,0.24
merged,20,19,0.13
merged,20,20,0.24
merged,20,21,902.72
merged,20,22,15766.76
merged,20,23,0.28
merged,20,24,0.03
merged,20,25,0.16
merged,20,26,0.06
merged,20,27,0.16
merged,20,28,0.06
merged,20,29,0.03
merged,20,30,0.08
merged,20,31,0.13
merged,20,32,0.13
merged,20,33,0.13
merged,20,34,0.04
merged,20,35,0.07
merged,20,36,0.04
merged,20,37,0.19
merged,20,38,0.18
merged,20,39,0.06
