dataset,sample_idx,var,n_chunks
single,10,weighted_PCT_SAND,2
single,10,weighted_PCT_CLAY,2
single,10,weighted_ORGANIC,2
single,10,SLOPE,2
single,10,elevation,2
single,10,ASPECT,2
single,10,LULC_states,6
single,11,secdf,4
single,11,range,4
single,11,primn,4
single,11,primf,4
single,11,pastr,4
single,11,c4ann,4
single,11,c4per,4
single,11,c3per,4
single,11,secmb,4
single,11,urban,4
single,11,secma,4
single,11,c3nfx,4
single,11,c3ann,4
single,11,secdn,4
single,11,number_of_people,4
single,11,kg_class,4
single,11,weighted_PCT_SAND,2
single,11,weighted_PCT_CLAY,2
single,11,weighted_ORGANIC,2
single,11,SLOPE,2
single,11,ASPECT,2
single,11,elevation,2
single,11,LULC_states,6
single,12,secdf,4
single,12,range,4
single,12,primn,4
single,12,primf,4
single,12,pastr,4
single,12,c4ann,4
single,12,c4per,4
single,12,c3per,4
single,12,urban,4
single,12,secmb,4
single,12,secdn,4
single,12,secma,4
single,12,c3nfx,4
single,12,c3ann,4
single,12,number_of_people,4
single,12,kg_class,4
single,12,weighted_PCT_SAND,2
single,12,weighted_PCT_CLAY,2
single,12,weighted_ORGANIC,2
single,12,SLOPE,2
single,12,elevation,2
single,12,ASPECT,2
single,12,LULC_states,6
single,13,secdf,4
single,13,range,4
single,13,primn,4
single,13,primf,4
single,13,pastr,4
single,13,c4ann,4
single,13,c4per,4
single,13,c3per,4
single,13,urban,4
single,13,secmb,4
single,13,secma,4
single,13,c3nfx,4
single,13,c3ann,4
single,13,secdn,4
single,13,number_of_people,4
single,13,kg_class,4
single,13,weighted_PCT_SAND,2
single,13,weighted_PCT_CLAY,2
single,13,weighted_ORGANIC,2
single,13,SLOPE,2
single,13,elevation,2
single,13,ASPECT,2
single,13,LULC_states,6
single,14,secdf,4
single,14,primn,4
single,14,pastr,4
single,14,range,4
single,14,primf,4
single,14,c4per,4
single,14,c4ann,4
single,14,c3per,4
single,14,urban,4
single,14,secmb,4
single,14,secma,4
single,14,secdn,4
single,14,c3ann,4
single,14,c3nfx,4
single,14,number_of_people,4
single,14,kg_class,4
single,14,weighted_PCT_SAND,2
single,14,weighted_PCT_CLAY,2
single,14,SLOPE,2
single,14,elevation,2
single,14,weighted_ORGANIC,2
single,14,ASPECT,2
single,14,LULC_states,6
single,15,secdf,4
single,15,range,4
single,15,primn,4
single,15,primf,4
single,15,c4per,4
single,15,pastr,4
single,15,c3per,4
single,15,c4ann,4
single,15,urban,4
single,15,secma,4
single,15,secmb,4
single,15,secdn,4
single,15,c3nfx,4
single,15,c3ann,4
single,15,number_of_people,4
single,15,kg_class,4
single,15,weighted_PCT_SAND,2
single,15,weighted_PCT_CLAY,2
single,15,weighted_ORGANIC,2
single,15,SLOPE,2
single,15,elevation,2
single,15,ASPECT,2
single,15,LULC_states,6
single,16,secdf,4
single,16,range,4
single,16,primn,4
single,16,primf,4
single,16,pastr,4
single,16,c4ann,4
single,16,c4per,4
single,16,c3per,4
single,16,urban,4
single,16,secma,4
single,16,secmb,4
single,16,secdn,4
single,16,c3ann,4
single,16,c3nfx,4
single,16,number_of_people,4
single,16,kg_class,4
single,16,weighted_PCT_SAND,2
single,16,weighted_PCT_CLAY,2
single,16,weighted_ORGANIC,2
single,16,elevation,2
single,16,SLOPE,2
single,16,ASPECT,2
single,16,LULC_states,6
single,17,secdf,2
single,17,range,2
single,17,primn,2
single,17,primf,2
single,17,pastr,2
single,17,c3per,2
single,17,c4ann,2
single,17,c4per,2
single,17,urban,2
single,17,secma,2
single,17,secmb,2
single,17,c3nfx,2
single,17,c3ann,2
single,17,secdn,2
single,17,number_of_people,2
single,17,kg_class,2
single,17,weighted_PCT_SAND,1
single,17,weighted_PCT_CLAY,1
single,17,weighted_ORGANIC,1
single,17,SLOPE,1
single,17,elevation,1
single,17,ASPECT,1
single,17,LULC_states,3
single,18,secdf,8
single,18,range,8
single,18,primn,8
single,18,primf,8
single,18,pastr,8
single,18,c4per,8
single,18,c4ann,8
single,18,c3per,8
single,18,urban,8
single,18,secmb,8
single,18,secma,8
single,18,secdn,8
single,18,c3nfx,8
single,18,c3ann,8
single,18,number_of_people,8
single,18,kg_class,8
single,18,weighted_PCT_SAND,4
single,18,weighted_PCT_CLAY,4
single,18,weighted_ORGANIC,4
single,18,SLOPE,4
single,18,elevation,4
single,18,ASPECT,4
single,18,LULC_states,12
single,19,secdf,2
single,19,range,2
single,19,primn,2
single,19,primf,2
single,19,pastr,2
single,19,c4per,2
single,19,c4ann,2
single,19,urban,2
single,19,secmb,2
single,19,secma,2
single,19,c3per,2
single,19,c3nfx,2
single,19,secdn,2
single,19,c3ann,2
single,19,number_of_people,2
single,19,kg_class,2
single,19,weighted_PCT_SAND,1
single,19,weighted_PCT_CLAY,1
single,19,weighted_ORGANIC,1
single,19,SLOPE,1
single,19,elevation,1
single,19,ASPECT,1
single,19,LULC_states,3
single,20,secdf,4
single,20,range,4
single,20,primn,4
single,20,primf,4
single,20,pastr,4
single,20,c4per,4
single,20,c4ann,4
single,20,c3per,4
single,20,urban,4
single,20,secmb,4
single,20,secma,4
single,20,secdn,4
single,20,c3ann,4
single,20,c3nfx,4
single,20,number_of_people,4
single,20,kg_class,4
single,20,weighted_PCT_SAND,2
single,20,weighted_PCT_CLAY,2
single,20,weighted_ORGANIC,2
single,20,elevation,2
single,20,SLOPE,2
single,20,ASPECT,2
single,20,LULC_states,6
single,21,range,4
single,21,secdf,4
single,21,primf,4
single,21,c4per,4
single,21,primn,4
single,21,pastr,4
single,21,c4ann,4
single,21,c3per,4
single,21,secmb,4
single,21,urban,4
single,21,secdn,4
single,21,c3nfx,4
single,21,secma,4
single,21,c3ann,4
single,21,number_of_people,4
single,21,kg_class,4
single,21,weighted_PCT_SAND,2
single,21,weighted_PCT_CLAY,2
single,21,weighted_ORGANIC,2
single,21,SLOPE,2
single,21,ASPECT,2
single,21,elevation,2
single,21,LULC_states,6
single,22,secdf,4
single,22,range,4
single,22,primn,4
single,22,primf,4
single,22,pastr,4
single,22,c4per,4
single,22,c4ann,4
single,22,c3per,4
single,22,urban,4
single,22,secmb,4
single,22,secma,4
single,22,secdn,4
single,22,c3ann,4
single,22,c3nfx,4
single,22,number_of_people,4
single,22,kg_class,4
single,22,weighted_PCT_SAND,2
single,22,weighted_PCT_CLAY,2
single,22,weighted_ORGANIC,2
single,22,SLOPE,2
single,22,elevation,2
single,22,ASPECT,2
single,22,LULC_states,6
single,23,secdf,4
single,23,range,4
single,23,primn,4
single,23,primf,4
single,23,c4per,4
single,23,pastr,4
single,23,c4ann,4
single,23,c3per,4
single,23,urban,4
single,23,secmb,4
single,23,secma,4
single,23,secdn,4
single,23,c3nfx,4
single,23,c3ann,4
single,23,number_of_people,4
single,23,kg_class,4
single,23,weighted_PCT_SAND,2
single,23,weighted_PCT_CLAY,2
single,23,SLOPE,2
single,23,weighted_ORGANIC,2
single,23,elevation,2
single,23,ASPECT,2
single,23,LULC_states,6
single,24,secdf,2
single,24,primn,2
single,24,range,2
single,24,c4per,2
single,24,pastr,2
single,24,primf,2
single,24,c4ann,2
single,24,c3per,2
single,24,urban,2
single,24,secmb,2
single,24,secdn,2
single,24,secma,2
single,24,c3nfx,2
single,24,c3ann,2
single,24,number_of_people,2
single,24,kg_class,2
single,24,weighted_PCT_SAND,1
single,24,weighted_PCT_CLAY,1
single,24,weighted_ORGANIC,1
single,24,SLOPE,1
single,24,elevation,1
single,24,ASPECT,1
single,24,LULC_states,3
single,25,secdf,2
single,25,primn,2
single,25,range,2
single,25,pastr,2
single,25,primf,2
single,25,c4per,2
single,25,c4ann,2
single,25,c3per,2
single,25,urban,2
single,25,secdn,2
single,25,secmb,2
single,25,secma,2
single,25,c3nfx,2
single,25,c3ann,2
single,25,number_of_people,2
single,25,kg_class,2
single,25,weighted_PCT_SAND,1
single,25,weighted_PCT_CLAY,1
single,25,weighted_ORGANIC,1
single,25,SLOPE,1
single,25,elevation,1
single,25,ASPECT,1
single,25,LULC_states,3
single,26,secdf,4
single,26,primf,4
single,26,pastr,4
single,26,c4ann,4
single,26,primn,4
single,26,range,4
single,26,c4per,4
single,26,c3per,4
single,26,urban,4
single,26,secmb,4
single,26,secdn,4
single,26,c3nfx,4
single,26,c3ann,4
single,26,secma,4
single,26,number_of_people,4
single,26,kg_class,4
single,26,weighted_PCT_SAND,2
single,26,weighted_PCT_CLAY,2
single,26,weighted_ORGANIC,2
single,26,elevation,2
single,26,SLOPE,2
single,26,ASPECT,2
single,26,LULC_states,6
single,27,secdf,2
single,27,primn,2
single,27,range,2
single,27,primf,2
single,27,pastr,2
single,27,c4per,2
single,27,c4ann,2
single,27,c3per,2
single,27,urban,2
single,27,secmb,2
single,27,secma,2
single,27,secdn,2
single,27,c3nfx,2
single,27,c3ann,2
single,27,number_of_people,2
single,27,kg_class,2
single,27,weighted_PCT_SAND,1
single,27,weighted_PCT_CLAY,1
single,27,weighted_ORGANIC,1
single,27,SLOPE,1
single,27,elevation,1
single,27,ASPECT,1
single,27,LULC_states,3
single,28,secdf,4
single,28,range,4
single,28,primn,4
single,28,primf,4
single,28,pastr,4
single,28,c4per,4
single,28,c4ann,4
single,28,secmb,4
single,28,c3per,4
single,28,urban,4
single,28,secma,4
single,28,secdn,4
single,28,c3nfx,4
single,28,c3ann,4
single,28,number_of_people,4
single,28,kg_class,4
single,28,weighted_PCT_SAND,2
single,28,weighted_PCT_CLAY,2
single,28,weighted_ORGANIC,2
single,28,SLOPE,2
single,28,elevation,2
single,28,ASPECT,2
single,28,LULC_states,6
single,29,range,2
single,29,secdf,2
single,29,pastr,2
single,29,primn,2
single,29,primf,2
single,29,c4per,2
single,29,urban,2
single,29,c3per,2
single,29,c4ann,2
single,29,secmb,2
single,29,secma,2
single,29,secdn,2
single,29,c3nfx,2
single,29,c3ann,2
single,29,number_of_people,2
single,29,kg_class,2
single,29,weighted_ORGANIC,1
single,29,weighted_PCT_CLAY,1
single,29,weighted_PCT_SAND,1
single,29,SLOPE,1
single,29,elevation,1
single,29,ASPECT,1
single,29,LULC_states,3
single,30,secdf,8
single,30,range,8
single,30,primn,8
single,30,c4per,8
single,30,primf,8
single,30,pastr,8
