var,chunk_file,size_bytes
ASPECT,15.21,557043
ASPECT,30.30,4248
ASPECT,19.1,4248
ASPECT,4.21,846349
ASPECT,17.65,4248
ASPECT,26.56,4248
ASPECT,30.63,4248
ASPECT,4.8,842090
ASPECT,23.15,4248
ASPECT,32.3,4248
ASPECT,34.16,4248
ASPECT,28.37,4248
ASPECT,25.26,4248
ASPECT,17.40,882364
ASPECT,29.51,4248
ASPECT,14.12,4248
ASPECT,23.51,4248
ASPECT,27.40,4248
ASPECT,29.37,4248
ASPECT,27.18,4248
ASPECT,14.16,425970
ASPECT,22.66,4248
ASPECT,7.15,836285
ASPECT,26.22,225496
ASPECT,34.38,4248
ASPECT,16.53,62685
ASPECT,31.15,4248
ASPECT,33.13,4248
ASPECT,35.10,4258
ASPECT,26.31,4248
ASPECT,34.53,4248
ASPECT,11.62,5061
ASPECT,29.43,4248
ASPECT,35.59,4258
ASPECT,12.68,4248
ASPECT,9.43,800739
ASPECT,16.59,212642
ASPECT,25.61,4248
ASPECT,18.58,248399
ASPECT,1.46,134484
ASPECT,16.55,201028
ASPECT,16.50,97249
ASPECT,21.25,888697
ASPECT,26.62,4248
ASPECT,22.60,870066
ASPECT,6.23,274461
ASPECT,34.1,4248
ASPECT,29.12,4248
ASPECT,2.11,133000
ASPECT,2.54,455409
ASPECT,27.32,4248
ASPECT,29.54,4248
ASPECT,11.4,4248
ASPECT,34.22,4248
ASPECT,5.58,881604
ASPECT,5.47,882037
ASPECT,17.11,4248
ASPECT,31.5,4248
ASPECT,6.3,158329
ASPECT,22.4,4248
ASPECT,17.50,4248
ASPECT,6.36,257272
ASPECT,8.11,869075
ASPECT,31.28,4248
ASPECT,4.0,500684
ASPECT,24.14,4248
ASPECT,3.58,646565
ASPECT,34.59,4248
ASPECT,18.49,4320
ASPECT,1.56,4248
ASPECT,19.40,882934
ASPECT,28.59,4248
ASPECT,33.0,4248
ASPECT,3.33,8831
ASPECT,24.56,4248
ASPECT,34.58,4248
ASPECT,19.45,4248
ASPECT,12.0,4248
ASPECT,30.36,4248
ASPECT,8.8,4248
ASPECT,24.52,4248
ASPECT,20.57,4248
ASPECT,17.17,35891
ASPECT,29.63,4248
ASPECT,14.38,870365
ASPECT,5.57,887484
ASPECT,27.16,4248
ASPECT,18.0,4248
ASPECT,5.44,885604
ASPECT,13.23,4248
ASPECT,13.63,4730
ASPECT,23.67,4609
ASPECT,18.26,866228
ASPECT,29.35,4248
ASPECT,1.20,543925
ASPECT,12.30,4248
ASPECT,28.38,4248
ASPECT,14.17,745423
ASPECT,5.5,793274
ASPECT,21.32,4248
LULC_states,0.35.42,4248
LULC_states,13.29.69,4248
LULC_states,3.1.69,4248
LULC_states,8.12.51,108053
LULC_states,4.19.52,4248
LULC_states,8.15.45,16933
LULC_states,3.31.37,7002
LULC_states,5.17.59,31132
LULC_states,12.1.5,4248
LULC_states,0.0.70,4312
LULC_states,12.11.44,97311
LULC_states,0.11.21,4248
LULC_states,11.8.42,103919
LULC_states,10.7.56,113852
LULC_states,5.10.34,117719
LULC_states,4.17.70,4312
LULC_states,5.12.65,4270
LULC_states,10.13.49,104960
LULC_states,7.31.42,8682
LULC_states,7.12.59,6200
LULC_states,15.31.19,7004
LULC_states,13.9.37,74970
LULC_states,2.21.66,4258
LULC_states,2.32.51,4248
LULC_states,6.15.65,4268
LULC_states,7.19.2,4292
LULC_states,8.20.23,114142
LULC_states,15.35.7,4258
LULC_states,11.1.23,9504
LULC_states,1.26.20,80695
LULC_states,11.12.30,4248
LULC_states,8.1.14,4248
LULC_states,11.8.19,116244
LULC_states,14.35.65,4248
LULC_states,0.5.68,47449
LULC_states,10.2.36,4248
LULC_states,8.24.31,4248
LULC_states,14.2.35,4248
LULC_states,14.28.24,4248
LULC_states,15.17.36,13102
LULC_states,13.26.25,4248
LULC_states,7.26.55,4248
LULC_states,14.0.19,4248
LULC_states,15.20.65,4248
LULC_states,9.30.45,6228
LULC_states,0.3.26,4248
LULC_states,11.19.63,38728
LULC_states,10.1.6,4248
LULC_states,5.25.24,4248
LULC_states,5.12.12,12954
LULC_states,9.6.21,89721
LULC_states,13.13.29,4248
LULC_states,7.14.30,9596
LULC_states,5.5.60,48567
LULC_states,2.4.2,16356
