START TIME: Wed Jun 24 20:12:16 CEST 2026
Master: as05r2b26:29500
Launch command: uv run accelerate launch     --multi_gpu     --num_processes $(( 4 * 4 ))     --num_machines 4     --machine_rank ${SLURM_PROCID}     --main_process_ip as05r2b26     --main_process_port 29500     --mixed_precision bf16     --dynamo_backend no     /gpfs/scratch/bsc32/bsc096444/ai4land-tfm/src/ai4land/training/train.py     --config-name final-training-w20     system.slurm_job_id=42413749     training.resume.path=
[2026-06-24 20:13:50,335][root][INFO] - Recurrent UNet Model Successfully Configured and Initialized.
[2026-06-24 20:13:50,348][root][INFO] - Starting from scratch (no valid checkpoint provided).
[2026-06-24 20:13:51,695][root][INFO] - Train: 13120000 samples, Val: 2624000 samples
[2026-06-24 20:13:54,221][root][INFO] - Starting training from epoch 1
[2026-06-24 20:14:16,502][root][INFO] - Epoch [1/10], Batch [34/2500], Loss: 1.7556 (Overall: 1.6604, Change: 1.3636), TF Ratio: 0.993
[2026-06-24 20:14:16,667][root][INFO] - Epoch [1/10], Batch [35/2500], Loss: 1.7478 (Overall: 1.3050, Change: 1.6647), TF Ratio: 0.993
[2026-06-24 20:14:17,145][root][INFO] - Epoch [1/10], Batch [36/2500], Loss: 1.7362 (Overall: 1.2828, Change: 1.3775), TF Ratio: 0.993
[2026-06-24 20:14:17,366][root][INFO] - Epoch [1/10], Batch [37/2500], Loss: 1.7263 (Overall: 1.3664, Change: 1.3728), TF Ratio: 0.993
[2026-06-24 20:14:17,519][root][INFO] - Epoch [1/10], Batch [38/2500], Loss: 1.7209 (Overall: 1.3411, Change: 1.6996), TF Ratio: 0.992
[2026-06-24 20:14:17,687][root][INFO] - Epoch [1/10], Batch [39/2500], Loss: 1.7169 (Overall: 1.3011, Change: 1.8301), TF Ratio: 0.992
[2026-06-24 20:14:17,891][root][INFO] - Epoch [1/10], Batch [40/2500], Loss: 1.7075 (Overall: 1.1386, Change: 1.5420), TF Ratio: 0.992
[2026-06-24 20:14:18,064][root][INFO] - Epoch [1/10], Batch [41/2500], Loss: 1.7017 (Overall: 1.3818, Change: 1.5560), TF Ratio: 0.992
[2026-06-24 20:14:18,219][root][INFO] - Epoch [1/10], Batch [42/2500], Loss: 1.6974 (Overall: 1.2969, Change: 1.7458), TF Ratio: 0.992
[2026-06-24 20:14:18,383][root][INFO] - Epoch [1/10], Batch [43/2500], Loss: 1.6883 (Overall: 1.2456, Change: 1.3706), TF Ratio: 0.991
[2026-06-24 20:14:18,604][root][INFO] - Epoch [1/10], Batch [44/2500], Loss: 1.6845 (Overall: 1.2462, Change: 1.7971), TF Ratio: 0.991
[2026-06-24 20:14:18,760][root][INFO] - Epoch [1/10], Batch [45/2500], Loss: 1.6805 (Overall: 1.3184, Change: 1.6896), TF Ratio: 0.991
[2026-06-24 20:14:18,915][root][INFO] - Epoch [1/10], Batch [46/2500], Loss: 1.6789 (Overall: 1.4208, Change: 1.7860), TF Ratio: 0.991
[2026-06-24 20:14:19,082][root][INFO] - Epoch [1/10], Batch [47/2500], Loss: 1.6772 (Overall: 1.3623, Change: 1.8369), TF Ratio: 0.991
[2026-06-24 20:14:19,339][root][INFO] - Epoch [1/10], Batch [48/2500], Loss: 1.6734 (Overall: 1.2993, Change: 1.6894), TF Ratio: 0.990
[2026-06-24 20:14:19,494][root][INFO] - Epoch [1/10], Batch [49/2500], Loss: 1.6729 (Overall: 1.2927, Change: 2.0065), TF Ratio: 0.990
[2026-06-24 20:14:19,649][root][INFO] - Epoch [1/10], Batch [50/2500], Loss: 1.6671 (Overall: 1.1912, Change: 1.5747), TF Ratio: 0.990
[2026-06-24 20:14:19,803][root][INFO] - Epoch [1/10], Batch [51/2500], Loss: 1.6602 (Overall: 1.1217, Change: 1.5101), TF Ratio: 0.990
[2026-06-24 20:14:20,034][root][INFO] - Epoch [1/10], Batch [52/2500], Loss: 1.6573 (Overall: 1.3233, Change: 1.6919), TF Ratio: 0.990
[2026-06-24 20:14:20,190][root][INFO] - Epoch [1/10], Batch [53/2500], Loss: 1.6540 (Overall: 1.4955, Change: 1.4761), TF Ratio: 0.989
[2026-06-24 20:14:20,345][root][INFO] - Epoch [1/10], Batch [54/2500], Loss: 1.6485 (Overall: 1.2192, Change: 1.4957), TF Ratio: 0.989
[2026-06-24 20:14:20,501][root][INFO] - Epoch [1/10], Batch [55/2500], Loss: 1.6441 (Overall: 1.1946, Change: 1.6155), TF Ratio: 0.989
[2026-06-24 20:14:20,714][root][INFO] - Epoch [1/10], Batch [56/2500], Loss: 1.6426 (Overall: 1.5823, Change: 1.5344), TF Ratio: 0.989
